사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
194562,2014105,1123010700,11230003,서울특별시 동대문구3,서울특별시 동대문구 청량리동(옥치과의원 부근),6,6,1,3,2,0,127.046833214382,37.581163437644,"{""type"":""Polygon"",""coordinates"":[[[127.0484343,37.5824376],[127.0480912,37.5826617],[127.0476997,37.5828283],[127.047275,37.5829308],[127.0468332,37.5829654],[127.0463915,37.5829308],[127.0459667,37.5828283],[127.0455752,37.5826617],[127.0452321,37.5824376],[127.0449505,37.5821646],[127.0447413,37.581853],[127.0446125,37.581515],[127.044569,37.5811634],[127.0446125,37.5808119],[127.0447413,37.5804738],[127.0449506,37.5801623],[127.0452322,37.5798892],[127.0455753,37.5796651],[127.0459667,37.5794986],[127.0463915,37.5793961],[127.0468332,37.5793614],[127.0472749,37.5793961],[127.0476997,37.5794986],[127.0480911,37.5796651],[127.0484343,37.5798892],[127.0487158,37.5801623],[127.0489251,37.5804738],[127.0490539,37.5808119],[127.0490975,37.5811634],[127.049054,37.581515],[127.0489251,37.581853],[127.0487159,37.5821646],[127.0484343,37.5824376]]]}"
5253611,2014105,1123010900,11230004,서울특별시 동대문구4,서울특별시 동대문구 휘경동(백합빌딩 부근),5,5,1,4,0,0,127.0603876119,37.589584825081,"{""type"":""Polygon"",""coordinates"":[[[127.0619889,37.590859],[127.0616457,37.5910831],[127.0612542,37.5912496],[127.0608294,37.5913522],[127.0603876,37.5913868],[127.0599458,37.5913522],[127.059521,37.5912496],[127.0591295,37.5910831],[127.0587863,37.590859],[127.0585047,37.5905859],[127.0582955,37.5902744],[127.0581666,37.5899364],[127.0581231,37.5895848],[127.0581666,37.5892333],[127.0582955,37.5888952],[127.0585048,37.5885837],[127.0587864,37.5883106],[127.0591295,37.5880865],[127.059521,37.58792],[127.0599458,37.5878175],[127.0603876,37.5877828],[127.0608294,37.5878175],[127.0612542,37.58792],[127.0616457,37.5880865],[127.0619888,37.5883106],[127.0622705,37.5885837],[127.0624797,37.5888952],[127.0626086,37.5892333],[127.0626521,37.5895848],[127.0626086,37.5899364],[127.0624798,37.5902744],[127.0622705,37.5905859],[127.0619889,37.590859]]]}"
194565,2014105,1123011000,11230005,서울특별시 동대문구5,서울특별시 동대문구 이문동(외대앞역지하차도(서측) 부근),4,4,0,2,2,0,127.061857687783,37.5957149315,"{""type"":""Polygon"",""coordinates"":[[[127.0634591,37.5969891],[127.0631159,37.5972132],[127.0627244,37.5973797],[127.0622995,37.5974823],[127.0618577,37.5975169],[127.0614159,37.5974823],[127.060991,37.5973797],[127.0605995,37.5972132],[127.0602563,37.5969891],[127.0599746,37.596716],[127.0597654,37.5964045],[127.0596365,37.5960665],[127.059593,37.5957149],[127.0596365,37.5953634],[127.0597654,37.5950253],[127.0599747,37.5947138],[127.0602563,37.5944407],[127.0605995,37.5942166],[127.060991,37.5940501],[127.0614159,37.5939476],[127.0618577,37.5939129],[127.0622995,37.5939476],[127.0627243,37.5940501],[127.0631159,37.5942166],[127.063459,37.5944407],[127.0637407,37.5947138],[127.06395,37.5950253],[127.0640788,37.5953634],[127.0641224,37.5957149],[127.0640789,37.5960665],[127.06395,37.5964045],[127.0637407,37.596716],[127.0634591,37.5969891]]]}"
194564,2014105,1123010400,11230006,서울특별시 동대문구6,서울특별시 동대문구 전농동(전농파출소앞 부근),4,4,0,2,2,0,127.047357681913,37.575770059442,"{""type"":""Polygon"",""coordinates"":[[[127.0489587,37.5770442],[127.0486156,37.5772684],[127.0482241,37.5774349],[127.0477994,37.5775374],[127.0473577,37.577572],[127.046916,37.5775374],[127.0464912,37.5774349],[127.0460998,37.5772684],[127.0457567,37.5770442],[127.0454751,37.5767712],[127.0452659,37.5764596],[127.0451371,37.5761216],[127.0450936,37.57577],[127.0451371,37.5754185],[127.045266,37.5750804],[127.0454752,37.5747689],[127.0457568,37.5744958],[127.0460999,37.5742718],[127.0464913,37.5741052],[127.046916,37.5740027],[127.0473577,37.5739681],[127.0477994,37.5740027],[127.0482241,37.5741052],[127.0486155,37.5742718],[127.0489586,37.5744958],[127.0492402,37.5747689],[127.0494494,37.5750804],[127.0495782,37.5754185],[127.0496218,37.57577],[127.0495783,37.5761216],[127.0494494,37.5764596],[127.0492402,37.5767712],[127.0489587,37.5770442]]]}"
5145209,2014105,1123010500,11230007,서울특별시 동대문구7,서울특별시 동대문구 답십리동(답십리사거리 부근),3,3,1,1,1,0,127.057369792883,37.573187052741,"{""type"":""Polygon"",""coordinates"":[[[127.0589707,37.5744612],[127.0586276,37.5746853],[127.0582362,37.5748519],[127.0578115,37.5749544],[127.0573698,37.574989],[127.0569281,37.5749544],[127.0565034,37.5748519],[127.056112,37.5746853],[127.0557689,37.5744612],[127.0554873,37.5741882],[127.0552781,37.5738766],[127.0551493,37.5735386],[127.0551058,37.573187],[127.0551493,37.5728355],[127.0552781,37.5724974],[127.0554874,37.5721859],[127.0557689,37.5719128],[127.056112,37.5716887],[127.0565034,37.5715222],[127.0569281,37.5714197],[127.0573698,37.5713851],[127.0578115,37.5714197],[127.0582362,37.5715222],[127.0586276,37.5716887],[127.0589707,37.5719128],[127.0592522,37.5721859],[127.0594614,37.5724974],[127.0595903,37.5728355],[127.0596338,37.573187],[127.0595903,37.5735386],[127.0594615,37.5738766],[127.0592523,37.5741882],[127.0589707,37.5744612]]]}"
5127147,2014105,1123010800,11230008,서울특별시 동대문구8,서울특별시 동대문구 회기동(회기역앞_이문로_진입_1 부근),3,3,0,2,1,0,127.055031373001,37.589348431086,"{""type"":""Polygon"",""coordinates"":[[[127.0566326,37.5906226],[127.0562895,37.5908467],[127.055898,37.5910132],[127.0554732,37.5911158],[127.0550314,37.5911504],[127.0545896,37.5911158],[127.0541648,37.5910132],[127.0537733,37.5908467],[127.0534301,37.5906226],[127.0531485,37.5903495],[127.0529392,37.590038],[127.0528104,37.5897],[127.0527669,37.5893484],[127.0528104,37.5889969],[127.0529393,37.5886588],[127.0531485,37.5883473],[127.0534302,37.5880742],[127.0537733,37.5878501],[127.0541648,37.5876836],[127.0545896,37.5875811],[127.0550314,37.5875464],[127.0554731,37.5875811],[127.0558979,37.5876836],[127.0562894,37.5878501],[127.0566326,37.5880742],[127.0569142,37.5883473],[127.0571235,37.5886588],[127.0572523,37.5889969],[127.0572959,37.5893484],[127.0572524,37.5897],[127.0571235,37.590038],[127.0569143,37.5903495],[127.0566326,37.5906226]]]}"
5060327,2014105,1123010600,11230009,서울특별시 동대문구9,서울특별시 동대문구 장안동(경찰수사연구소B 부근),3,3,0,2,1,0,127.072326452905,37.581624725102,"{""type"":""Polygon"",""coordinates"":[[[127.0739276,37.5828989],[127.0735844,37.583123],[127.073193,37.5832895],[127.0727682,37.5833921],[127.0723265,37.5834267],[127.0718847,37.5833921],[127.0714599,37.5832895],[127.0710685,37.583123],[127.0707254,37.5828989],[127.0704438,37.5826258],[127.0702345,37.5823143],[127.0701057,37.5819763],[127.0700622,37.5816247],[127.0701057,37.5812732],[127.0702346,37.5809351],[127.0704438,37.5806236],[127.0707254,37.5803505],[127.0710685,37.5801264],[127.07146,37.5799599],[127.0718847,37.5798574],[127.0723265,37.5798227],[127.0727682,37.5798574],[127.0731929,37.5799599],[127.0735844,37.5801264],[127.0739275,37.5803505],[127.0742091,37.5806236],[127.0744183,37.5809351],[127.0745472,37.5812732],[127.0745907,37.5816247],[127.0745472,37.5819763],[127.0744184,37.5823143],[127.0742091,37.5826258],[127.0739276,37.5828989]]]}"
5207084,2014105,1123010700,11230010,서울특별시 동대문구10,서울특별시 동대문구 청량리동(떡전교사거리_일반국도6호선_진 부근),3,3,0,2,1,0,127.050137370344,37.583831667698,"{""type"":""Polygon"",""coordinates"":[[[127.0517385,37.5851059],[127.0513954,37.58533],[127.0510039,37.5854965],[127.0505791,37.585599],[127.0501374,37.5856337],[127.0496956,37.585599],[127.0492708,37.5854965],[127.0488794,37.58533],[127.0485362,37.5851059],[127.0482546,37.5848328],[127.0480454,37.5845212],[127.0479165,37.5841832],[127.047873,37.5838316],[127.0479166,37.5834801],[127.0480454,37.5831421],[127.0482547,37.5828305],[127.0485363,37.5825575],[127.0488794,37.5823334],[127.0492709,37.5821668],[127.0496956,37.5820643],[127.0501374,37.5820297],[127.0505791,37.5820643],[127.0510039,37.5821668],[127.0513953,37.5823334],[127.0517385,37.5825575],[127.0520201,37.5828305],[127.0522293,37.5831421],[127.0523582,37.5834801],[127.0524017,37.5838316],[127.0523582,37.5841832],[127.0522294,37.5845212],[127.0520201,37.5848328],[127.0517385,37.5851059]]]}"
6098670,2015048,1123010300,11230001,서울특별시 동대문구1,서울특별시 동대문구 제기동(우리은행청량리중앙지점 부근),13,13,1,5,7,0,127.041454505922,37.579079105917,"{""type"":""Polygon"",""coordinates"":[[[127.0430556,37.5803533],[127.0427124,37.5805774],[127.042321,37.5807439],[127.0418962,37.5808465],[127.0414545,37.5808811],[127.0410128,37.5808465],[127.040588,37.5807439],[127.0401966,37.5805774],[127.0398535,37.5803533],[127.0395719,37.5800802],[127.0393627,37.5797687],[127.0392338,37.5794306],[127.0391903,37.5790791],[127.0392338,37.5787275],[127.0393627,37.5783895],[127.0395719,37.578078],[127.0398535,37.5778049],[127.0401966,37.5775808],[127.0405881,37.5774143],[127.0410128,37.5773117],[127.0414545,37.5772771],[127.0418962,37.5773117],[127.042321,37.5774143],[127.0427124,37.5775808],[127.0430555,37.5778049],[127.0433371,37.578078],[127.0435463,37.5783895],[127.0436752,37.5787275],[127.0437187,37.5790791],[127.0436752,37.5794306],[127.0435464,37.5797687],[127.0433371,37.5800802],[127.0430556,37.5803533]]]}"
6098671,2015048,1123010700,11230002,서울특별시 동대문구2,서울특별시 동대문구 청량리동(청량리역_홍릉길_진입_1 부근),13,13,0,9,4,0,127.045492252367,37.580899669185,"{""type"":""Polygon"",""coordinates"":[[[127.0470933,37.5821739],[127.0467502,37.582398],[127.0463588,37.5825645],[127.045934,37.582667],[127.0454923,37.5827017],[127.0450505,37.582667],[127.0446257,37.5825645],[127.0442343,37.582398],[127.0438912,37.5821739],[127.0436096,37.5819008],[127.0434004,37.5815892],[127.0432715,37.5812512],[127.043228,37.5808996],[127.0432715,37.5805481],[127.0434004,37.5802101],[127.0436096,37.5798985],[127.0438912,37.5796255],[127.0442343,37.5794014],[127.0446258,37.5792348],[127.0450505,37.5791323],[127.0454923,37.5790977],[127.045934,37.5791323],[127.0463587,37.5792348],[127.0467502,37.5794014],[127.0470933,37.5796255],[127.0473749,37.5798985],[127.0475841,37.5802101],[127.047713,37.5805481],[127.0477565,37.5808996],[127.047713,37.5812512],[127.0475842,37.5815892],[127.0473749,37.5819008],[127.0470933,37.5821739]]]}"
