Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bus_stop contribution,car_out_density contribution,cctv_car contribution,cctv_way_density contribution,crosswalk contribution,hospital_log contribution,intersection_fourway contribution,intersection_single contribution,intersection_threeway contribution,led_density contribution,market_kde_density_log_weighted contribution,senior_facility contribution,silverzone contribution,streetlight contribution,walklight contribution,bus_stop permutation importance,car_out_density permutation importance,cctv_car permutation importance,cctv_way_density permutation importance,crosswalk permutation importance,hospital_log permutation importance,intersection_fourway permutation importance,intersection_single permutation importance,intersection_threeway permutation importance,led_density permutation importance,market_kde_density_log_weighted permutation importance,senior_facility permutation importance,silverzone permutation importance,streetlight permutation importance,walklight permutation importance,Training gain without bus_stop,Training gain without car_out_density,Training gain without cctv_car,Training gain without cctv_way_density,Training gain without crosswalk,Training gain without hospital_log,Training gain without intersection_fourway,Training gain without intersection_single,Training gain without intersection_threeway,Training gain without led_density,Training gain without market_kde_density_log_weighted,Training gain without senior_facility,Training gain without silverzone,Training gain without streetlight,Training gain without walklight,Training gain with only bus_stop,Training gain with only car_out_density,Training gain with only cctv_car,Training gain with only cctv_way_density,Training gain with only crosswalk,Training gain with only hospital_log,Training gain with only intersection_fourway,Training gain with only intersection_single,Training gain with only intersection_threeway,Training gain with only led_density,Training gain with only market_kde_density_log_weighted,Training gain with only senior_facility,Training gain with only silverzone,Training gain with only streetlight,Training gain with only walklight,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
accident_20,55,0.4504,0.6259,300,0.8054,400,11.0760,0.5362,0.3294,0.0574,0.0738,32.4418,0.0000,4.3031,4.2350,0.1773,26.3697,5.5753,1.2033,3.9893,9.6325,2.6064,0.0000,2.1093,0.0000,0.1455,10.3528,0.0000,3.2852,6.1341,1.6972,49.7151,9.5527,3.1155,3.8550,7.4312,0.4494,0.4482,0.4473,0.4502,0.4501,0.4238,0.4504,0.4318,0.4368,0.4494,0.3641,0.4392,0.4481,0.4351,0.4297,0.1591,0.0311,0.0447,0.0267,0.0731,0.2579,0.0724,0.1370,0.0049,0.0184,0.1711,0.0955,0.0246,0.0216,0.1752,5.5410,0.3839,1.0000,0.0881,0.9225,0.0000,5.0000,0.1890,0.7300,0.0000,10.0000,0.3348,0.6250,0.0182,8.7181,0.3060,0.6450,0.0000,19.8580,0.3633,0.4800,0.0909,37.2334,0.4631,0.2725,0.2727,29.6469,0.4231,0.3550,0.1818,6.0148,0.2202,0.7025,0.0000,9.4776,0.3304,0.6350,0.0182
accident_21,55,0.5347,0.8073,180,0.8409,400,0.2817,21.7345,0.0861,1.4950,0.0500,7.2097,0.0000,3.2896,3.6493,2.0479,33.3564,10.7485,7.8333,1.2757,6.9421,2.0044,12.3369,2.7502,1.5149,0.0000,0.2641,0.0000,11.5289,3.1619,5.9509,27.1053,13.5410,0.0000,2.8045,17.0370,0.5343,0.4954,0.5336,0.5252,0.5346,0.5313,0.5347,0.5150,0.5176,0.5167,0.3986,0.5001,0.5159,0.5261,0.5162,0.0435,0.1720,0.0020,0.0000,0.0163,0.1594,0.0289,0.0172,0.0011,0.0638,0.2403,0.1201,0.0979,0.0121,0.1104,5.4564,0.3490,1.0000,0.1347,0.9450,0.0000,5.0000,0.2003,0.8200,0.0000,10.0000,0.2140,0.6950,0.0182,7.2795,0.2075,0.7625,0.0000,27.4189,0.3452,0.3625,0.0545,34.7162,0.4062,0.2725,0.2727,27.4189,0.3452,0.3625,0.0545,7.2795,0.2075,0.7625,0.0000,14.7783,0.2367,0.5850,0.0182
accident_22,55,0.5020,0.7971,240,0.8456,400,21.9817,1.3990,2.4503,0.9595,0.6956,0.0483,0.0550,12.1488,2.0256,0.3128,4.3367,0.5017,0.2054,18.8003,34.0791,9.7471,3.4045,15.6314,3.4700,0.6465,0.3274,0.0409,15.3204,1.8578,0.0000,2.3815,4.5830,0.0900,13.3317,29.1677,0.4716,0.4912,0.4791,0.4928,0.5018,0.5018,0.5020,0.4390,0.4969,0.4990,0.4859,0.4991,0.5006,0.4165,0.4832,0.2238,0.0729,0.0750,0.0300,0.0395,0.1315,0.0080,0.2384,0.0011,0.0500,0.0696,0.0451,0.0009,0.0633,0.2243,5.4895,0.3611,1.0000,0.1574,0.9100,0.0000,5.0000,0.2203,0.7875,0.0000,10.0000,0.2260,0.6675,0.0000,17.8795,0.2539,0.4925,0.0000,26.4058,0.3580,0.3450,0.0909,31.2478,0.4292,0.2875,0.2909,25.8646,0.3449,0.3525,0.0727,4.5135,0.2129,0.8000,0.0000,12.7117,0.2338,0.6050,0.0000
accident_23,55,0.6208,0.8207,180,0.8482,400,0.2123,28.6011,4.8651,8.8684,0.0000,22.8877,0.0258,0.5072,0.6444,0.6497,10.9340,13.2795,3.9298,1.4380,3.1568,0.4286,4.4046,16.2139,16.1216,0.0000,24.7330,1.0022,1.2726,1.4111,0.4286,16.7282,7.3520,4.1079,0.4418,5.3541,0.6177,0.6076,0.5539,0.5464,0.6208,0.5639,0.6205,0.6185,0.6180,0.6174,0.5584,0.6022,0.6150,0.6091,0.6158,0.1138,0.2503,0.0590,0.0000,0.1039,0.3524,0.0604,0.1184,0.0011,0.0052,0.1372,0.1602,0.0696,0.0129,0.1945,5.3702,0.3158,1.0000,0.1024,0.9325,0.0000,5.0000,0.1842,0.7825,0.0000,10.0000,0.1947,0.6550,0.0000,11.6738,0.2021,0.6150,0.0000,26.0820,0.2946,0.3325,0.0909,32.0469,0.3735,0.2525,0.2545,26.0820,0.2946,0.3325,0.0909,9.3239,0.1932,0.6725,0.0000,15.1833,0.2193,0.5350,0.0364
accident_24,55,0.7718,1.1075,220,0.8602,400,1.1855,5.7670,7.9195,0.6081,7.7619,0.0856,0.0270,2.7309,0.0443,1.9940,49.7365,0.0000,12.4759,2.1002,7.5635,1.2932,5.6326,11.6172,4.5765,9.2751,0.5460,0.4167,6.8252,0.0144,1.0489,43.5663,0.0000,2.8594,2.8738,9.4547,0.7599,0.7401,0.7181,0.7651,0.7300,0.7711,0.7715,0.7448,0.7717,0.7592,0.4680,0.7718,0.7198,0.7481,0.7514,0.0677,0.1041,0.0927,0.0435,0.0072,0.0694,0.0008,0.0651,0.0000,0.0745,0.3988,0.0203,0.1293,0.0203,0.1499,5.2192,0.2675,1.0000,0.0520,0.8775,0.0000,5.0000,0.1304,0.6800,0.0182,10.0000,0.1684,0.5325,0.0364,2.5873,0.0910,0.7725,0.0000,14.8718,0.2067,0.4250,0.0545,25.3115,0.3367,0.2650,0.2727,47.8119,0.6182,0.1050,0.3455,2.5873,0.0910,0.7725,0.0000,13.2007,0.1891,0.4600,0.0545
accident_25,55,0.7071,0.9777,200,0.8648,400,0.0506,10.2109,14.4071,1.1987,0.0279,14.1124,1.0874,2.0380,0.2507,0.2824,31.3584,2.1508,0.0001,2.0156,20.8090,1.0133,3.0497,22.7644,5.8928,0.1279,11.2445,3.7973,10.5657,2.5775,0.5607,27.5947,4.0826,0.0394,2.0462,4.6434,0.7067,0.7027,0.6340,0.6942,0.7068,0.6676,0.6963,0.6685,0.7032,0.7058,0.5492,0.6977,0.7071,0.6922,0.7036,0.2096,0.1950,0.2038,0.0890,0.1375,0.3693,0.1345,0.1537,0.0164,0.0259,0.2835,0.0984,0.0093,0.0138,0.2683,5.2843,0.2873,1.0000,0.0688,0.9175,0.0000,5.0000,0.1089,0.6775,0.0000,10.0000,0.1839,0.5125,0.0000,14.0876,0.2335,0.4300,0.0000,17.8991,0.2707,0.3675,0.0909,28.1830,0.4121,0.2375,0.2364,14.0876,0.2335,0.4300,0.0000,9.9940,0.1782,0.5150,0.0000,11.0094,0.2121,0.4925,0.0000
accident_26,55,0.4704,0.6407,140,0.7936,400,0.5186,0.0000,0.0000,0.0006,0.1301,25.3110,33.7037,1.7437,4.4896,9.3588,5.7462,0.6940,0.0000,5.6419,12.6618,8.0389,0.0000,0.0000,0.0000,1.1727,7.2365,17.9756,5.3850,8.0697,6.8508,17.0190,6.8971,0.0000,0.0000,21.3547,0.4676,0.4705,0.4705,0.4704,0.4694,0.4603,0.4435,0.4631,0.4531,0.4519,0.4477,0.4670,0.4705,0.4448,0.4678,0.1325,0.0772,0.0216,0.0515,0.1633,0.2402,0.2656,0.0949,0.0121,0.1803,0.0788,0.0453,0.0009,0.0216,0.2494,5.5212,0.3760,1.0000,0.1059,0.9300,0.0000,5.0000,0.2241,0.7825,0.0545,10.0000,0.2920,0.6850,0.0727,2.3951,0.1406,0.8625,0.0000,22.8213,0.3038,0.4550,0.0909,32.8872,0.4173,0.3100,0.3091,27.9463,0.3428,0.3700,0.1273,2.3951,0.1406,0.8625,0.0000,13.4941,0.2939,0.6225,0.0727
accident_27,55,0.5690,0.7869,180,0.8358,400,0.4428,0.0000,0.0428,0.6631,3.7868,27.2020,6.7291,3.4488,1.8156,1.8934,26.6536,21.0519,0.6371,5.6330,0.0000,3.0491,0.0000,1.5016,0.1992,11.4840,11.4073,6.7647,17.8503,0.0000,1.6625,24.1247,17.9652,0.1456,3.8459,0.0000,0.5649,0.5690,0.5687,0.5652,0.5477,0.5320,0.5348,0.5411,0.5662,0.5651,0.4637,0.4942,0.5690,0.5404,0.5690,0.0776,0.0843,0.0129,0.0058,0.0194,0.2559,0.1179,0.0938,0.0049,0.0753,0.1920,0.1961,0.0246,0.0380,0.1085,5.4219,0.3361,1.0000,0.1178,0.9150,0.0000,5.0000,0.1761,0.7900,0.0000,10.0000,0.1976,0.6500,0.0182,6.5527,0.1789,0.7425,0.0000,21.8164,0.3029,0.4125,0.0727,35.2970,0.4388,0.2450,0.2545,35.0418,0.4381,0.2450,0.2182,6.5527,0.1789,0.7425,0.0000,13.6192,0.2282,0.5650,0.0545
accident_28,55,0.6614,0.9060,160,0.8380,400,1.3515,7.9575,0.7679,0.7892,8.7145,34.5614,0.0000,0.0000,0.0179,0.2098,33.7041,10.0614,0.0000,1.2787,0.5860,2.2939,2.4428,5.2804,1.2512,4.0962,35.3318,0.0000,0.0000,0.3351,0.7001,33.8646,10.7619,0.0000,0.0000,3.6419,0.6502,0.6568,0.6515,0.6522,0.6366,0.5385,0.6614,0.6614,0.6612,0.6608,0.5135,0.6382,0.6614,0.6505,0.6583,0.0357,0.1775,0.0447,0.0233,0.0169,0.3307,0.0128,0.0273,0.0011,0.0366,0.2618,0.1274,0.0093,0.0229,0.1160,5.3300,0.3045,1.0000,0.1050,0.9225,0.0000,5.0000,0.1481,0.7625,0.0000,10.0000,0.1755,0.6125,0.0364,7.8798,0.1583,0.6750,0.0000,21.3707,0.2827,0.3750,0.0909,29.6504,0.3859,0.2725,0.2727,21.3707,0.2827,0.3750,0.0909,7.8798,0.1583,0.6750,0.0000,14.0383,0.2074,0.5150,0.0545
accident_29,55,0.5721,0.8055,200,0.8425,400,3.9838,0.0000,1.3770,0.0358,1.0560,9.7128,6.8669,1.6678,0.0000,0.0000,3.8746,0.8093,33.6482,12.2768,24.6910,12.8776,0.0000,0.9137,1.1609,1.4834,3.3753,13.7268,6.8688,0.0000,0.0000,10.5665,5.7938,18.6606,15.6616,8.9111,0.5435,0.5721,0.5630,0.5719,0.5642,0.5652,0.5499,0.5593,0.5721,0.5721,0.5597,0.5650,0.4698,0.5165,0.5587,0.1644,0.0672,0.0590,0.0192,0.0405,0.2087,0.1001,0.1174,0.0020,0.0177,0.0811,0.1160,0.2394,0.0633,0.2094,5.4193,0.3382,1.0000,0.1445,0.9125,0.0000,5.0000,0.2078,0.7925,0.0182,10.0000,0.2199,0.6750,0.0182,4.6890,0.2030,0.8025,0.0000,23.7297,0.3060,0.4150,0.0545,35.3897,0.4208,0.2575,0.2727,23.7297,0.3060,0.4150,0.0545,4.5885,0.2015,0.8050,0.0000,15.3621,0.2443,0.5625,0.0182
accident (average),55.0000,0.5519,0.7684,210.6667,0.8282,400.0000,5.3044,5.4409,4.2072,1.0211,1.9628,18.6460,3.7001,2.9589,1.8808,1.4846,23.3556,6.6228,6.2539,5.1013,12.0596,4.5998,2.2776,8.3587,2.1185,2.9419,12.2546,3.3591,6.6099,2.1069,1.9324,26.4674,7.5249,4.1131,3.5517,11.7836,0.5422,0.5451,0.5301,0.5437,0.5447,0.5203,0.5433,0.5353,0.5451,0.5458,0.4497,0.5338,0.5339,0.5264,0.5401,0.1199,0.1026,0.0629,0.0326,0.0628,0.2369,0.0831,0.0954,0.0036,0.0436,0.1845,0.0988,0.0644,0.0271,0.1741,5.4394,0.3452,1.0000,0.1210,0.9255,0.0012,5.0000,0.1844,0.7772,0.0103,10.0000,0.2237,0.6442,0.0224,7.5693,0.1975,0.7121,0.0000,22.0131,0.3082,0.4148,0.0818,33.5175,0.4329,0.2660,0.2660,29.0324,0.3908,0.3247,0.1418,6.3899,0.1822,0.7345,0.0006,12.8679,0.2394,0.5783,0.0358
