Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bus_stop contribution,car_out_density contribution,cctv_car contribution,cctv_way_density contribution,crosswalk contribution,hospital_log contribution,intersection_fourway contribution,intersection_single contribution,intersection_threeway contribution,led_density contribution,market_kde_density_log_weighted contribution,senior_facility contribution,silverzone contribution,streetlight contribution,walklight contribution,bus_stop permutation importance,car_out_density permutation importance,cctv_car permutation importance,cctv_way_density permutation importance,crosswalk permutation importance,hospital_log permutation importance,intersection_fourway permutation importance,intersection_single permutation importance,intersection_threeway permutation importance,led_density permutation importance,market_kde_density_log_weighted permutation importance,senior_facility permutation importance,silverzone permutation importance,streetlight permutation importance,walklight permutation importance,Training gain without bus_stop,Training gain without car_out_density,Training gain without cctv_car,Training gain without cctv_way_density,Training gain without crosswalk,Training gain without hospital_log,Training gain without intersection_fourway,Training gain without intersection_single,Training gain without intersection_threeway,Training gain without led_density,Training gain without market_kde_density_log_weighted,Training gain without senior_facility,Training gain without silverzone,Training gain without streetlight,Training gain without walklight,Training gain with only bus_stop,Training gain with only car_out_density,Training gain with only cctv_car,Training gain with only cctv_way_density,Training gain with only crosswalk,Training gain with only hospital_log,Training gain with only intersection_fourway,Training gain with only intersection_single,Training gain with only intersection_threeway,Training gain with only led_density,Training gain with only market_kde_density_log_weighted,Training gain with only senior_facility,Training gain with only silverzone,Training gain with only streetlight,Training gain with only walklight,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
accident_10,55,0.5447,0.7486,220,0.8339,400,0.0001,0.0000,3.0615,0.0026,0.0623,24.0766,0.3934,1.0705,0.1044,6.7270,40.3668,2.2442,5.8657,6.0703,9.9547,0.0431,0.0000,0.7491,0.0000,0.0000,5.4417,0.0000,4.5548,0.1464,1.1193,59.7124,7.6976,2.6950,2.0665,15.7741,0.5447,0.5447,0.5361,0.5447,0.5438,0.5303,0.5447,0.5372,0.5442,0.5342,0.3926,0.5338,0.5297,0.5095,0.5251,0.1151,0.0421,0.0750,0.0441,0.0543,0.2436,0.1001,0.0586,0.0002,0.1235,0.2742,0.0861,0.0696,0.0367,0.2003,5.4470,0.3463,1.0000,0.0800,0.9075,0.0000,5.0000,0.1561,0.6900,0.0000,10.0000,0.2662,0.5725,0.0000,11.1899,0.2763,0.5525,0.0000,24.4644,0.4000,0.3575,0.0909,33.1209,0.4732,0.2725,0.2727,23.3731,0.3956,0.3725,0.0545,6.6909,0.2062,0.6425,0.0000,9.6993,0.2655,0.5800,0.0000
accident_11,55,0.4911,0.7686,260,0.8346,400,3.8171,19.6615,13.4229,0.0000,0.2533,4.4146,0.0555,3.9200,0.0684,3.5038,38.4666,9.3600,1.1495,1.9067,0.0000,9.4346,7.5051,10.6831,0.0000,0.6739,1.3904,0.0000,8.9664,0.0000,5.9516,40.8810,13.2581,1.2556,0.0000,0.0000,0.4731,0.4641,0.4545,0.4911,0.4907,0.4813,0.4907,0.4714,0.4910,0.4712,0.3434,0.4640,0.4870,0.4817,0.4911,0.0661,0.1461,0.1119,0.0700,0.0049,0.1649,0.0128,0.0513,0.0000,0.0001,0.2189,0.0957,0.0246,0.0121,0.0323,5.5005,0.3654,1.0000,0.1073,0.9400,0.0000,5.0000,0.1712,0.7675,0.0000,10.0000,0.2339,0.6325,0.0000,18.6985,0.3189,0.4625,0.0000,25.5632,0.3856,0.3650,0.0909,35.4734,0.5142,0.2650,0.2727,34.5894,0.5131,0.2700,0.1636,8.3268,0.2165,0.6750,0.0000,11.0773,0.2412,0.6100,0.0000
accident_12,55,0.3576,0.5389,180,0.8020,400,29.0141,0.7320,0.0000,0.0000,3.4304,9.6692,0.2975,0.0000,5.6336,0.0000,34.2149,4.7483,6.2938,4.2034,1.7628,21.3241,0.6324,0.0000,0.0000,2.5099,12.2332,0.4348,0.0000,9.9605,0.0000,30.2668,10.8004,10.5336,0.0000,1.3043,0.3287,0.3543,0.3576,0.3576,0.3514,0.3445,0.3573,0.3576,0.3394,0.3576,0.2582,0.3484,0.3452,0.3439,0.3546,0.1271,0.0066,0.0063,0.0033,0.0184,0.1242,0.0386,0.0222,0.0049,0.0206,0.1773,0.0741,0.0450,0.0216,0.0600,5.6339,0.4244,1.0000,0.1328,0.9350,0.0000,5.0000,0.2639,0.8075,0.0182,10.0000,0.2977,0.7025,0.0182,2.5673,0.1921,0.8700,0.0000,27.8193,0.4084,0.4175,0.0727,38.9040,0.4962,0.2925,0.2727,26.7019,0.4039,0.4350,0.0364,2.5673,0.1921,0.8700,0.0000,10.3368,0.2992,0.6975,0.0182
accident_13,55,0.2971,0.4093,220,0.7513,400,0.0000,20.2916,1.1523,0.9998,0.0000,21.5064,0.0000,0.1522,0.4794,1.7997,7.1393,21.3806,0.4759,5.6780,18.9448,0.0000,10.5635,12.8468,5.2042,0.0000,7.0739,0.0000,2.8606,6.2209,7.2635,15.0698,16.7413,0.0000,1.8180,14.3374,0.2971,0.2772,0.2908,0.2905,0.2971,0.2890,0.2971,0.2965,0.2956,0.2924,0.2804,0.2756,0.2971,0.2749,0.2871,0.0905,0.1360,0.0216,0.0014,0.0742,0.1537,0.0478,0.0511,0.0020,0.0001,0.0442,0.0957,0.0093,0.0216,0.1379,5.6941,0.4571,1.0000,0.1970,0.9525,0.0000,5.0000,0.3278,0.8500,0.0182,10.0000,0.3741,0.7650,0.0545,4.1915,0.2947,0.8675,0.0000,27.8268,0.4043,0.4950,0.0727,40.6387,0.4676,0.3275,0.3273,27.8268,0.4043,0.4950,0.0727,2.7850,0.2567,0.9000,0.0000,11.5397,0.3749,0.7425,0.0545
accident_14,55,0.5536,0.7643,240,0.8297,400,1.1141,3.9482,14.8626,3.6459,0.0000,45.7143,0.1103,0.6930,0.0000,0.0000,18.8240,0.0000,9.5060,0.0000,1.5816,2.4034,2.3566,21.2329,7.0308,0.0000,33.9992,0.0000,5.3141,0.0000,0.0000,20.7023,0.0000,6.4144,0.0000,0.5462,0.5437,0.5516,0.4588,0.5185,0.5536,0.4738,0.5529,0.5448,0.5536,0.5536,0.4586,0.5536,0.5271,0.5536,0.5531,0.0715,0.1478,0.1549,0.0185,0.0647,0.3177,0.0724,0.0723,0.0054,0.0371,0.1888,0.0361,0.0979,0.0015,0.1274,5.4377,0.3396,1.0000,0.1113,0.9475,0.0000,5.0000,0.1515,0.7800,0.0000,10.0000,0.2040,0.6300,0.0364,5.4499,0.1533,0.7625,0.0000,20.3777,0.2825,0.4075,0.0909,31.1303,0.4301,0.2650,0.2727,30.1659,0.4169,0.2725,0.2000,5.4499,0.1533,0.7625,0.0000,12.4545,0.2194,0.5725,0.0364
accident_15,55,0.4430,0.6077,240,0.7924,400,26.7330,0.8079,14.9943,0.1654,7.1200,0.0000,7.8848,6.3187,3.4216,2.0576,11.8340,3.2068,1.8321,10.0408,3.5831,2.3590,0.5072,25.0649,0.4010,5.2843,0.0000,1.6159,18.2708,0.0000,1.9816,27.5183,4.2699,5.2607,7.4664,0.0000,0.4402,0.4403,0.4054,0.4420,0.4349,0.4430,0.4319,0.4113,0.4321,0.4329,0.3921,0.4384,0.4373,0.3946,0.4430,0.1659,0.0729,0.1119,0.0729,0.1459,0.1446,0.1148,0.1416,0.0011,0.0058,0.0970,0.0692,0.0246,0.0380,0.1810,5.5480,0.3868,1.0000,0.1000,0.9125,0.0000,5.0000,0.2552,0.7900,0.0182,10.0000,0.2661,0.6825,0.0727,3.4302,0.2312,0.8250,0.0000,22.5346,0.3283,0.4525,0.0909,35.4792,0.4498,0.2825,0.2909,35.2465,0.4498,0.2850,0.2182,3.0248,0.2195,0.8350,0.0000,12.1341,0.2756,0.6400,0.0727
accident_16,55,0.6465,0.7987,180,0.8478,400,0.0000,0.0000,0.1587,0.0674,0.0012,13.3746,1.6897,2.2283,5.0347,0.0309,13.8947,3.8172,2.9257,4.1882,52.5888,0.0000,0.0000,0.3955,0.8535,0.0000,0.7078,1.4781,7.9734,4.6112,0.0000,25.2836,8.5875,3.3934,3.9554,42.7605,0.6465,0.6465,0.6452,0.6463,0.6465,0.6370,0.6434,0.6356,0.6301,0.6463,0.5632,0.6186,0.6410,0.6254,0.6042,0.2436,0.0843,0.0447,0.0438,0.1277,0.3111,0.1508,0.2106,0.0011,0.0896,0.1912,0.1395,0.0696,0.0203,0.3849,5.3448,0.3068,1.0000,0.1125,0.9350,0.0000,5.0000,0.1164,0.7625,0.0000,10.0000,0.1471,0.5725,0.0000,11.1973,0.1591,0.5350,0.0000,15.6159,0.2072,0.4200,0.0727,27.4866,0.4456,0.2550,0.2545,23.0791,0.3643,0.3000,0.1636,11.1973,0.1591,0.5350,0.0000,11.6164,0.1624,0.5225,0.0545
accident_17,55,0.7533,1.0073,320,0.8541,400,1.0947,0.0000,6.3682,0.0000,0.0000,50.8346,0.1468,12.4599,2.4219,0.0000,10.5178,0.1054,0.0000,1.0939,14.9566,8.0855,0.0000,6.9124,0.0000,0.0000,29.3779,4.0637,8.7243,1.9481,0.0000,14.1077,0.0000,0.0000,0.1257,26.6548,0.7385,0.7534,0.7133,0.7534,0.7534,0.6643,0.7495,0.7084,0.7387,0.7534,0.6462,0.7526,0.7534,0.7469,0.7299,0.1828,0.1383,0.1549,0.1097,0.2159,0.4754,0.0596,0.3242,0.0049,0.0601,0.1476,0.0234,0.0093,0.0071,0.3568,5.2387,0.2742,1.0000,0.0952,0.9450,0.0000,5.0000,0.1185,0.7775,0.0182,10.0000,0.1384,0.6050,0.0182,3.1266,0.1118,0.8500,0.0000,14.3851,0.1687,0.4775,0.0727,30.7095,0.4142,0.2175,0.2182,29.0736,0.3909,0.2325,0.1455,11.0638,0.1441,0.5700,0.0182,14.7872,0.1745,0.4700,0.1091
accident_18,55,0.5827,0.8063,240,0.8233,400,25.1430,0.9497,4.4290,0.0000,0.1954,8.1354,1.2453,14.7287,1.0757,0.1571,14.2305,0.1679,1.6733,13.6883,14.1807,12.1751,0.6685,9.5951,0.0000,3.0320,6.7137,5.0753,26.6949,0.0000,0.0282,22.8625,0.0000,2.7024,10.4520,0.0000,0.5273,0.5818,0.5667,0.5827,0.5809,0.5692,0.5689,0.4937,0.5826,0.5819,0.4978,0.5820,0.5777,0.5088,0.5827,0.2117,0.0844,0.0927,0.0808,0.0629,0.2410,0.0604,0.2179,0.0000,0.0500,0.1542,0.0081,0.0450,0.0633,0.1858,5.4088,0.3304,1.0000,0.1551,0.9075,0.0000,5.0000,0.1693,0.7825,0.0000,10.0000,0.1953,0.6400,0.0182,6.3948,0.1720,0.7425,0.0000,16.8219,0.2413,0.4825,0.0727,31.1395,0.3959,0.2725,0.2727,32.2934,0.4061,0.2600,0.2727,6.3948,0.1720,0.7425,0.0000,13.4789,0.2138,0.5575,0.0182
accident_19,55,0.6648,0.7953,140,0.8223,400,0.2516,0.0252,1.5319,4.7134,0.0000,26.8420,11.4533,0.0927,1.2184,0.0000,38.5093,8.7105,6.0253,0.6264,0.0000,1.9070,0.0000,14.5605,4.4688,0.0000,32.4194,5.9748,0.0000,3.4785,0.0000,31.1180,4.5261,0.6711,0.8758,0.0000,0.6637,0.6644,0.6442,0.6282,0.6648,0.5886,0.6446,0.6641,0.6578,0.6648,0.4893,0.6319,0.6451,0.6606,0.6648,0.0733,0.1066,0.0129,0.0000,0.0781,0.2794,0.1870,0.0296,0.0011,0.0490,0.2989,0.1570,0.0979,0.0071,0.1461,5.3266,0.3042,1.0000,0.1284,0.9425,0.0182,5.0000,0.1600,0.8150,0.0182,10.0000,0.1708,0.6700,0.0364,0.6039,0.1013,0.9575,0.0000,19.6309,0.2318,0.4475,0.0909,30.8923,0.3306,0.2725,0.2727,38.3713,0.4443,0.1875,0.3273,0.6039,0.1013,0.9575,0.0000,16.4815,0.2057,0.5125,0.0364
