Predictor variable,Categorical,Sample average
bus_stop,false,1.309090909090909
car_out_density,false,0.41818181818181815
cctv_car,false,0.2
cctv_way_density,false,0.3090909090909091
crosswalk,false,1.8
hospital_log,false,1.2123023336583918
intersection_fourway,false,0.4
intersection_single,false,0.8363636363636363
intersection_threeway,false,0.09090909090909091
led_density,false,0.2909090909090909
market_kde_density_log_weighted,false,5.077448563876596E-13
senior_facility,false,0.7272727272727273
silverzone,false,0.07272727272727272
streetlight,false,0.14545454545454545
walklight,false,3.909090909090909
