X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
204428.45822740605,553809.5998487548,train,0.016403583829394074,83.42449126060535,0.9661665237838928
202047.99118376637,552972.4976897563,train,0.007155016268781879,61.64009527553404,0.7716918853574211
206040.35133558584,551754.4752185036,train,0.0017000511388192022,22.522024379436672,0.29598332740979105
203661.7639605606,553281.7458893906,train,0.010711084140472085,75.4077439447292,0.8904268276962777
204136.76132910966,553513.3060978388,train,0.050474030030339435,100.0,0.9999701611973665
203895.63211164623,553372.383997459,train,0.014428368957676026,80.21836031995194,0.9491333290761045
206201.07980153602,553260.81344538,train,0.004027000941087304,44.39449528714187,0.5645265637139166
203317.19202926743,553695.0173166066,train,0.010243623699453435,72.25598480096376,0.87932588619938
203748.13558220217,553296.6444267967,train,0.029212756426662132,94.95255877300355,0.9975959250324573
205333.41572421076,554448.6678374524,train,0.0024317062380669577,31.336912556523274,0.3946774551288753
204802.62601637293,554488.7009247388,train,0.006263512136797865,56.90965757892551,0.7255592414975918
204428.45822740605,553809.5998487548,train,0.016403583829394074,83.42449126060535,0.9661665237838928
205333.41572421076,554448.6678374524,train,0.0024317062380669577,31.336912556523274,0.3946774551288753
203317.19202926743,553695.0173166066,train,0.010243623699453435,72.25598480096376,0.87932588619938
203748.13558220217,553296.6444267967,train,0.029212756426662132,94.95255877300355,0.9975959250324573
202897.92909919823,552365.5136594516,train,8.346977043340069E-4,8.005974725342975,0.15828380631793648
203303.54423935033,553185.310555001,train,0.025882719798581026,92.03133872198069,0.9952192016661404
205671.15047783093,555029.8268609729,train,0.022233645740600945,89.44308181737392,0.989845560646279
205071.1123906592,552478.0753456885,train,0.0069499785396924295,60.21815273530408,0.7618207731541667
205921.16564028463,551459.6349168028,train,0.009621686525194571,67.31838134333374,0.862793868699335
204445.96498677324,553298.1265277149,train,0.002872279882323377,36.78431105635006,0.4473025181772601
202897.92909919823,552365.5136594516,train,8.346977043340069E-4,8.005974725342975,0.15828380631793648
203572.81580577928,554086.1728853763,train,0.006217746898792029,56.28320435326768,0.7229541393913088
204136.76132910966,553513.3060978388,train,0.050474030030339435,100.0,0.9999701611973665
202047.99118376637,552972.4976897563,train,0.007155016268781879,61.64009527553404,0.7716918853574211
205941.54133492813,555973.5086103553,train,0.0010131078063787748,11.860465728215596,0.1887206291723521
203245.4816467967,553222.5163347323,train,0.010821380548265442,76.48977542372074,0.8928935370315009
206072.0339691853,553240.2542543523,train,0.002028293222731743,25.904588348593677,0.34210800977439504
203303.54423935033,553185.310555001,train,0.025882719798581026,92.03133872198069,0.9952192016661404
206040.35133558584,551754.4752185036,train,0.0017000511388192022,22.522024379436672,0.29598332740979105
204888.0944991958,551844.2681933807,train,0.002555533912835747,33.83709542669097,0.4099549735187922
206364.90218781235,552679.9023287538,train,0.008302550602380082,65.49821391156958,0.8198476831859242
205462.80429262563,555129.1254791149,train,0.011992452338903099,78.77549119344482,0.9158945875097763
204796.556296295,551911.2139296882,train,0.0016095099794002342,21.370657735433973,0.28270078243141916
205506.87912190013,554513.8416741657,train,0.0020072858612298987,25.582527064634633,0.33924873810842926
205106.62916228257,554503.2432304216,train,0.003381006106523797,39.60834385251333,0.5024027813245616
205671.15047783093,555029.8268609729,train,0.022233645740600945,89.44308181737392,0.989845560646279
206201.07980153602,553260.81344538,train,0.004027000941087304,44.39449528714187,0.5645265637139166
204428.45822740605,553809.5998487548,train,0.016403583829394074,83.42449126060535,0.9661665237838928
203531.30336319568,553692.2803255578,train,0.010301996685424237,73.28570793154016,0.8807713234046729
205071.1123906592,552478.0753456885,train,0.0069499785396924295,60.21815273530408,0.7618207731541667
204136.76132910966,553513.3060978388,train,0.050474030030339435,100.0,0.9999701611973665
202979.19121947154,553171.2293310203,train,0.0023618818993017764,29.650431600248773,0.38588895544775315
203245.4816467967,553222.5163347323,train,0.010821380548265442,76.48977542372074,0.8928935370315009
206066.43023068737,552011.6893984125,train,0.001469237209372069,19.21796196999553,0.2616259461039633
205126.14841016696,554967.3783631723,train,0.0019439186706557297,24.90488409408173,0.33054845478923345
204802.62601637293,554488.7009247388,train,0.006263512136797865,56.90965757892551,0.7255592414975918
205671.15047783093,555029.8268609729,train,0.022233645740600945,89.44308181737392,0.989845560646279
204136.76132910966,553513.3060978388,train,0.050474030030339435,100.0,0.9999701611973665
205106.62916228257,554503.2432304216,train,0.003381006106523797,39.60834385251333,0.5024027813245616
205439.72549430034,555523.8153561172,train,0.0016157453852496278,21.532113088628304,0.28362350866629893
205126.14841016696,554967.3783631723,train,0.0019439186706557297,24.90488409408173,0.33054845478923345
205506.87912190013,554513.8416741657,train,0.0020072858612298987,25.582527064634633,0.33924873810842926
205333.41572421076,554448.6678374524,train,0.0024317062380669577,31.336912556523274,0.3946774551288753
204183.38910069902,552914.7262296594,train,0.0014858617761937078,19.356835819902713,0.2641556460818185
