Predictor variable,Categorical,Sample average
bus_stop,false,1.2727272727272727
car_out_density,false,0.5636363636363636
cctv_car,false,0.16363636363636364
cctv_way_density,false,0.23636363636363636
crosswalk,false,1.7818181818181817
hospital_log,false,1.0109949068589643
intersection_fourway,false,0.2727272727272727
intersection_single,false,0.6181818181818182
intersection_threeway,false,0.10909090909090909
led_density,false,0.2727272727272727
market_kde_density_log_weighted,false,5.543617670554978E-13
senior_facility,false,0.6
silverzone,false,0.12727272727272726
streetlight,false,0.4727272727272727
walklight,false,3.6363636363636362
