Predictor variable,Categorical,Sample average
bus_stop,false,1.3636363636363635
car_out_density,false,0.2545454545454545
cctv_car,false,0.18181818181818182
cctv_way_density,false,0.2909090909090909
crosswalk,false,1.8181818181818181
hospital_log,false,0.9735745798457752
intersection_fourway,false,0.2909090909090909
intersection_single,false,0.6363636363636364
intersection_threeway,false,0.09090909090909091
led_density,false,0.2
market_kde_density_log_weighted,false,4.975545764445191E-13
senior_facility,false,0.5272727272727272
silverzone,false,0.09090909090909091
streetlight,false,0.3090909090909091
walklight,false,3.6545454545454548
