Predictor variable,Categorical,Sample average
bus_stop,false,1.5454545454545454
car_out_density,false,0.38181818181818183
cctv_car,false,0.2909090909090909
cctv_way_density,false,0.43636363636363634
crosswalk,false,2.1818181818181817
hospital_log,false,1.1689691500230268
intersection_fourway,false,0.38181818181818183
intersection_single,false,0.7636363636363637
intersection_threeway,false,0.16363636363636364
led_density,false,0.34545454545454546
market_kde_density_log_weighted,false,5.158428902273754E-13
senior_facility,false,0.5636363636363636
silverzone,false,0.10909090909090909
streetlight,false,0.16363636363636364
walklight,false,4.8545454545454545
