Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.4602E-4,0.014601993,0.033305098,1,0,0
1.63332E-4,0.030935241,0.037179563,0.9975,0,0
2.04413E-4,0.051376532,0.046311139,0.995,0,0
2.33593E-4,0.118734841,0.052744732,0.9875,0,0
3.09255E-4,0.206384387,0.069225292,0.98,0,0
4.12621E-4,0.316672987,0.091277928,0.9725,0,0
4.62886E-4,0.406132748,0.101811996,0.9675,0,0
4.83135E-4,0.502493876,0.106021042,0.9625,0,0
4.99945E-4,0.601715557,0.109500259,0.9575,0,0
5.51949E-4,0.708682516,0.120178228,0.9525,0,0
6.62268E-4,0.774909295,0.142407909,0.95,0,0
6.70503E-4,0.84195959,0.144044617,0.9475,0,0
6.95813E-4,0.911540892,0.149055373,0.945,0,0
7.05961E-4,1.052235589,0.151056118,0.94,0,0
7.27249E-4,1.124960502,0.155238109,0.9375,0,0
7.38168E-4,1.272071399,0.157375155,0.9325,0,0
7.47486E-4,1.346820039,0.159194511,0.93,0,0
7.48749E-4,1.421694941,0.159440737,0.9275,0,0
7.82477E-4,1.576326982,0.165991582,0.9225,0,0
7.82487E-4,1.811072244,0.16599356,0.915,0,0
7.82567E-4,2.045832309,0.166008872,0.9075,0,0
7.82752E-4,2.280639215,0.166044778,0.9,0,0
7.83227E-4,2.515555301,0.166136595,0.8925,0,0
7.84289E-4,2.750724986,0.166342105,0.885,0,0
7.86897E-4,3.064913243,0.166846177,0.875,0,0
7.90008E-4,3.301378735,0.16744727,0.8675,0,0
7.94007E-4,3.539354226,0.168219231,0.86,0,0
7.95712E-4,3.77786777,0.168548147,0.8525,0,0
8.03701E-4,4.018199986,0.170087479,0.845,0,0
8.04072E-4,4.259416041,0.170158936,0.8375,0,0
8.04863E-4,4.500767218,0.170311151,0.83,0,0
8.06539E-4,4.823025592,0.170633655,0.82,0,0
8.0748E-4,5.065174801,0.170814689,0.8125,0,0
8.085E-4,5.307570378,0.171010914,0.805,0,0
8.11508E-4,5.550543372,0.171589197,0.7975,0,0
8.12278E-4,5.794214106,0.171737123,0.79,0,0
8.16584E-4,6.038453288,0.172564013,0.7825,0,0
8.18583E-4,6.283894018,0.172947655,0.775,0,0
8.19276E-4,6.529633671,0.173080531,0.7675,0,0
8.25121E-4,6.776958605,0.174201048,0.76,0,0
8.27098E-4,7.025001857,0.174579661,0.7525,0,0
8.31055E-4,7.274073045,0.175336859,0.745,0,0
8.37626E-4,7.524763669,0.176592988,0.7375,0,0
8.40453E-4,7.776772157,0.177132732,0.73,0,0
8.47453E-4,8.030010363,0.178467816,0.7225,0,0
8.58987E-4,8.285752145,0.180662974,0.715,0,0
8.67797E-4,8.5451376,0.182335666,0.7075,0,0
8.71631E-4,8.806157731,0.183062658,0.7,0,0
8.78026E-4,9.06939744,0.184273655,0.6925,0,0
8.85883E-4,9.334339265,0.185759082,0.685,0,0
9.00169E-4,9.513910111,0.188452813,0.68,0,0
9.13777E-4,9.786472202,0.191010588,0.6725,0,0
9.24778E-4,10.062635385,0.193072387,0.665,0,0
9.31346E-4,10.340912112,0.194300964,0.6575,0,0
9.33042E-4,10.527359346,0.194617835,0.6525,0,0
9.4201E-4,10.808847379,0.196291583,0.645,0,0
9.56219E-4,11.093771423,0.198936362,0.6375,0,0
9.59158E-4,11.285516892,0.199482218,0.6325,0,0
9.66108E-4,11.574898071,0.200771693,0.625,0,0
9.76175E-4,11.769192534,0.202636,0.62,0,0
9.86344E-4,12.064098089,0.204514773,0.6125,0,0
9.89157E-4,12.26184525,0.205033601,0.6075,0,0
1.00263E-3,12.561386282,0.207514796,0.6,0,0
1.01972E-3,12.764297647,0.210649856,0.595,0,0
1.02648E-3,13.071973579,0.211886443,0.5875,0,0
1.02781E-3,13.277421052,0.212129393,0.5825,0,0
1.05546E-3,13.590765575,0.217166603,0.575,0,0
1.06469E-3,13.803260437,0.21884067,0.57,0,0
1.07747E-3,14.018661509,0.221152873,0.565,0,0
1.10195E-3,14.346818057,0.225563166,0.5575,0.036363636,0
