Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.70311E-6,0.000170311,0.000437138,1,0,0
2.31333E-5,0.002483642,0.005921348,0.9975,0,0
4.04402E-5,0.006527659,0.010328377,0.995,0,0
5.61732E-5,0.012144983,0.014317705,0.9925,0,0
9.85544E-5,0.030332564,0.024984186,0.9875,0,0
1.41356E-4,0.057007607,0.035639265,0.9825,0,0
2.41409E-4,0.114945204,0.06009476,0.975,0,0
3.09477E-4,0.225712639,0.076376917,0.965,0,0
3.79113E-4,0.333964024,0.092742246,0.9575,0,0
3.79168E-4,0.409796532,0.092755009,0.9525,0,0
3.79702E-4,0.523640288,0.092879431,0.945,0,0
3.80958E-4,0.637800762,0.09317177,0.9375,0,0
3.83866E-4,0.714284385,0.093848575,0.9325,0,0
3.84186E-4,0.752703018,0.093923038,0.93,0,0
3.89546E-4,0.830195069,0.095168942,0.925,0,0
3.93079E-4,0.908683806,0.095989182,0.92,0,0
4.10289E-4,1.031168939,0.099974625,0.9125,0,0
4.33171E-4,1.116083651,0.105246285,0.9075,0,0
4.64713E-4,1.208745908,0.112462448,0.9025,0,0
4.67999E-4,1.30231904,0.113210738,0.8975,0,0
4.94472E-4,1.44602707,0.119217421,0.89,0,0
5.34856E-4,1.551964121,0.128301692,0.885,0,0
6.12129E-4,1.782756959,0.145424314,0.875,0,0
6.59883E-4,2.038887779,0.155837106,0.865,0,0
7.01574E-4,2.31208462,0.164824205,0.855,0,0
8.78066E-4,2.561241055,0.201821829,0.8475,0,0
9.19113E-4,2.833001384,0.210188735,0.84,0,0
9.65486E-4,3.024750415,0.219535865,0.835,0,0
1.0234E-3,3.327747426,0.231054158,0.8275,0,0
1.04181E-3,3.534336618,0.234679929,0.8225,0.018181818,0
1.11863E-3,3.751979186,0.249625952,0.8175,0.018181818,0
1.14503E-3,4.092035548,0.254693485,0.81,0.018181818,0
1.14577E-3,4.321131781,0.254835996,0.805,0.018181818,0
1.14603E-3,4.550329263,0.254886109,0.8,0.018181818,0
1.14693E-3,4.779654602,0.255056893,0.795,0.018181818,0
1.14784E-3,5.009158456,0.255231293,0.79,0.018181818,0
1.15057E-3,5.354246696,0.255753829,0.7825,0.018181818,0
1.15104E-3,5.584409122,0.255843126,0.7775,0.018181818,0
1.15134E-3,5.814656087,0.255899296,0.7725,0.018181818,0
1.15474E-3,6.04532002,0.256549907,0.7675,0.018181818,0
1.15611E-3,6.276524814,0.256810813,0.7625,0.018181818,0
1.15709E-3,6.507900877,0.256997718,0.7575,0.018181818,0
1.15761E-3,6.855113557,0.257097815,0.75,0.018181818,0
1.16226E-3,7.087503841,0.257984222,0.745,0.036363636,0
1.16413E-3,7.320213988,0.258340037,0.74,0.036363636,0
1.16487E-3,7.55317873,0.258480309,0.735,0.036363636,0
1.16867E-3,7.786869279,0.259203388,0.73,0.036363636,0
1.17221E-3,8.021291051,0.259876765,0.725,0.036363636,0
1.17687E-3,8.256475276,0.260761901,0.72,0.036363636,0
1.17923E-3,8.609891223,0.261208827,0.7125,0.036363636,0
1.18436E-3,8.846323754,0.262181302,0.7075,0.036363636,0
1.18707E-3,9.083531807,0.262693919,0.7025,0.036363636,0
1.19534E-3,9.32218122,0.26425786,0.6975,0.072727273,0
1.1987E-3,9.561803341,0.264891716,0.6925,0.072727273,0
1.20369E-3,9.80213777,0.265834042,0.6875,0.072727273,0
1.20518E-3,10.043157802,0.266115422,0.6825,0.072727273,0
1.21188E-3,10.285077329,0.267375092,0.6775,0.072727273,0
1.21336E-3,10.527738368,0.267653679,0.6725,0.072727273,0
1.21523E-3,10.770640278,0.268004779,0.6675,0.072727273,0
1.22076E-3,11.014713134,0.269043704,0.6625,0.072727273,0
1.23416E-3,11.260296033,0.271554219,0.6575,0.072727273,0
1.24471E-3,11.508202514,0.273525111,0.6525,0.072727273,0
1.24689E-3,11.757577834,0.273931224,0.6475,0.072727273,0
1.25548E-3,12.008531578,0.275531027,0.6425,0.072727273,0
1.25709E-3,12.25984797,0.275829625,0.6375,0.072727273,0
1.26318E-3,12.511895681,0.276960435,0.6325,0.072727273,0
1.26474E-3,12.7646955,0.277251673,0.6275,0.072727273,0
1.26989E-3,13.018271777,0.278206126,0.6225,0.072727273,0
1.27658E-3,13.27320542,0.279445,0.6175,0.072727273,0
1.28479E-3,13.529460946,0.28096061,0.6125,0.072727273,0
1.29298E-3,13.787368961,0.282471068,0.6075,0.072727273,0
1.29369E-3,14.046060388,0.28260206,0.6025,0.072727273,0
1.30755E-3,14.307251579,0.285150576,0.5975,0.072727273,0
1.31062E-3,14.569234087,0.285713005,0.5925,0.072727273,0
1.31541E-3,14.832137379,0.286591971,0.5875,0.072727273,0
1.31782E-3,15.095537304,0.287033402,0.5825,0.072727273,0
1.32279E-3,15.359605449,0.287941276,0.5775,0.072727273,0
1.32839E-3,15.625201241,0.288964784,0.5725,0.072727273,0
1.3345E-3,15.758650748,0.290078591,0.57,0.072727273,0
1.3438E-3,16.026764994,0.291772238,0.565,0.072727273,0
1.34897E-3,16.296498822,0.292712728,0.56,0.072727273,0
1.35004E-3,16.566489896,0.292905982,0.555,0.072727273,0
1.35106E-3,16.836680789,0.29309198,0.55,0.072727273,0
1.36462E-3,17.108896716,0.29554828,0.545,0.072727273,0
1.38396E-3,17.384869811,0.299037747,0.54,0.072727273,0
1.39447E-3,17.524316468,0.300925046,0.5375,0.072727273,0
1.39589E-3,17.803433041,0.30117957,0.5325,0.072727273,0
1.41194E-3,18.084666106,0.304053888,0.5275,0.090909091,0
1.42164E-3,18.368514538,0.305785735,0.5225,0.090909091,0
1.4288E-3,18.511394495,0.307059764,0.52,0.090909091,0
1.44101E-3,18.799163951,0.309229164,0.515,0.090909091,0
