X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
204445.96498677324,553298.1265277149,train,0.001824694656626877,30.559033494796125,0.36791284017051784
204317.00688524576,554074.1112995486,train,0.017021051787573967,87.2832554590256,0.9861447361215874
203317.19202926743,553695.0173166066,train,0.005900488301595668,67.51428529785163,0.7731308681517514
204802.62601637293,554488.7009247388,train,0.0013120919925846293,17.41512215906105,0.2809754266204819
202897.92909919823,552365.5136594516,train,0.00475105655301607,60.74713321733845,0.697118899324205
202047.99118376637,552972.4976897563,train,0.0025954466117821345,42.34387542193597,0.4792550610651024
202553.02332957313,553058.6097160496,train,0.0032714788037266074,47.703279779858036,0.5606457821320401
206201.07980153602,553260.81344538,train,0.0014515775486855786,21.649796870497823,0.3057522502804956
204796.556296295,551911.2139296882,train,0.002096721402049614,36.58292798926975,0.4096947300733227
202171.5220972054,552594.7705580404,train,0.002332247081712764,40.138352277657354,0.4436327005894133
202897.92909919823,552365.5136594516,train,0.00475105655301607,60.74713321733845,0.697118899324205
205921.16564028463,551459.6349168028,train,0.006555055648779393,70.01489951565448,0.807554076112853
203408.16348892282,554162.1351746492,train,0.008542904924800717,80.38086355674479,0.8832458820418465
205890.06292690928,554711.0361068877,train,0.006016434870878998,68.11602344051468,0.779648414167878
203245.4816467967,553222.5163347323,train,0.0023109922079936973,39.67372049903729,0.4406518102763335
204183.38910069902,552914.7262296594,train,0.0016044448632488572,26.069777353055223,0.33192658965633504
206045.88850307092,553097.2226714304,train,0.007444003326656571,76.26597473361781,0.8460952542963338
203650.03233855072,552892.0965466191,train,0.007023057824637457,74.09971773706839,0.8289151696541122
206066.43023068737,552011.6893984125,train,0.0024135996059976433,41.08602340353554,0.4548959612198422
204564.34772135835,553968.8441778553,train,0.0029300605922904237,44.56705683289081,0.5212691914686637
205462.80429262563,555129.1254791149,train,0.005296294112338767,65.26073232967825,0.7359158836834663
206201.07980153602,553260.81344538,train,0.0014515775486855786,21.649796870497823,0.3057522502804956
205462.80429262563,555129.1254791149,train,0.005296294112338767,65.26073232967825,0.7359158836834663
204183.38910069902,552914.7262296594,train,0.0016044448632488572,26.069777353055223,0.33192658965633504
204317.00688524576,554074.1112995486,train,0.017021051787573967,87.2832554590256,0.9861447361215874
203895.63211164623,553372.383997459,train,0.04539849399731056,99.99999487757405,0.9999889510492025
203748.13558220217,553296.6444267967,train,0.04007849918880565,95.46015041886862,0.9999579112102336
205664.50166400167,552201.5390257541,train,0.002718243711336401,43.419925041595825,0.49508545985319297
205126.14841016696,554967.3783631723,train,0.0018342017209169986,30.925334083368536,0.36942177171492996
206364.90218781235,552679.9023287538,train,0.00835517189392001,78.69540263194364,0.8776034448596476
205478.8353323923,555695.9357668943,train,0.004518588266576033,57.47533123622896,0.6788902977166845
205333.41572421076,554448.6678374524,train,0.001837223721960958,31.109015275024646,0.36990065938171857
203303.54423935033,553185.310555001,train,0.008355532717921967,79.52657254203126,0.8776145470827318
205333.41572421076,554448.6678374524,train,0.001837223721960958,31.109015275024646,0.36990065938171857
203572.81580577928,554086.1728853763,train,0.004012074482786568,54.101960229308,0.6352835102704482
205333.41572421076,554448.6678374524,train,0.001837223721960958,31.109015275024646,0.36990065938171857
205216.4885906524,553134.108597763,train,9.488821035839945E-4,3.7455878091380166,0.21222977874487947
206364.90218781235,552679.9023287538,train,0.00835517189392001,78.69540263194364,0.8776034448596476
205506.87912190013,554513.8416741657,train,0.001702621262713215,27.624878195900298,0.34821384171851033
204317.00688524576,554074.1112995486,train,0.017021051787573967,87.2832554590256,0.9861447361215874
205478.8353323923,555695.9357668943,train,0.004518588266576033,57.47533123622896,0.6788902977166845
204136.76132910966,553513.3060978388,train,0.006802421668331831,72.69954653622575,0.8191573318651948
203317.19202926743,553695.0173166066,train,0.005900488301595668,67.51428529785163,0.7731308681517514
205462.80429262563,555129.1254791149,train,0.005296294112338767,65.26073232967825,0.7359158836834663
203354.99453539366,552593.4094974482,train,0.0033336186625779487,49.02254307742609,0.5674560194834133
205071.1123906592,552478.0753456885,train,0.005356830181048279,65.79637937075447,0.7399044884839484
205088.11936156155,553065.4606671124,train,0.008881607089427491,81.26900371993676,0.8927759585900475
206045.88850307092,553097.2226714304,train,0.007444003326656571,76.26597473361781,0.8460952542963338
203354.99453539366,552593.4094974482,train,0.0033336186625779487,49.02254307742609,0.5674560194834133
204888.0944991958,551844.2681933807,train,0.009195093076066372,82.18853211197333,0.9009019110712096
203317.19202926743,553695.0173166066,train,0.005900488301595668,67.51428529785163,0.7731308681517514
204183.38910069902,552914.7262296594,train,0.0016044448632488572,26.069777353055223,0.33192658965633504
203408.16348892282,554162.1351746492,train,0.008542904924800717,80.38086355674479,0.8832458820418465
205902.66167191076,551856.2626066944,train,0.0032812753943615627,48.35778737411684,0.5617265193316929
203748.13558220217,553296.6444267967,train,0.04007849918880565,95.46015041886862,0.9999579112102336
