Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bus_stop contribution,car_out_density contribution,cctv_car contribution,cctv_child contribution,hospital_log contribution,intersection_fourway contribution,intersection_single contribution,intersection_threeway contribution,led_density contribution,market_kde_density_log_weighted contribution,senior_facility contribution,silverzone contribution,streetlight contribution,bus_stop permutation importance,car_out_density permutation importance,cctv_car permutation importance,cctv_child permutation importance,hospital_log permutation importance,intersection_fourway permutation importance,intersection_single permutation importance,intersection_threeway permutation importance,led_density permutation importance,market_kde_density_log_weighted permutation importance,senior_facility permutation importance,silverzone permutation importance,streetlight permutation importance,Training gain without bus_stop,Training gain without car_out_density,Training gain without cctv_car,Training gain without cctv_child,Training gain without hospital_log,Training gain without intersection_fourway,Training gain without intersection_single,Training gain without intersection_threeway,Training gain without led_density,Training gain without market_kde_density_log_weighted,Training gain without senior_facility,Training gain without silverzone,Training gain without streetlight,Training gain with only bus_stop,Training gain with only car_out_density,Training gain with only cctv_car,Training gain with only cctv_child,Training gain with only hospital_log,Training gain with only intersection_fourway,Training gain with only intersection_single,Training gain with only intersection_threeway,Training gain with only led_density,Training gain with only market_kde_density_log_weighted,Training gain with only senior_facility,Training gain with only silverzone,Training gain with only streetlight,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
accident_20,55,0.4545,0.6027,200,0.7949,400,0.5359,17.2376,0.3457,1.4307,27.6404,2.8927,0.5352,0.0607,4.6325,13.4738,23.5137,0.0000,7.7011,2.5560,15.7808,2.2253,7.3499,8.7614,0.0000,6.4344,0.3561,5.8240,13.7335,21.5666,0.0000,15.4120,0.4521,0.4263,0.4527,0.4446,0.4515,0.4475,0.4501,0.4543,0.4433,0.4145,0.3785,0.4545,0.4231,0.1170,0.1638,0.0322,0.0000,0.2357,0.1001,0.0660,0.0000,0.0764,0.1101,0.1709,0.0093,0.0380,5.5368,0.3804,1.0000,0.1733,0.9325,0.0000,5.0000,0.2467,0.8175,0.0000,10.0000,0.2613,0.7100,0.0727,9.3846,0.2603,0.7250,0.0000,19.2082,0.2933,0.5300,0.0909,36.6496,0.4341,0.2725,0.2727,39.1083,0.4831,0.2450,0.2727,4.2887,0.2234,0.8350,0.0000,13.8698,0.2697,0.6325,0.0909
accident_21,55,0.5008,0.7374,180,0.8194,400,0.0669,12.1296,4.3112,5.8542,2.7890,0.1087,4.5185,0.0000,5.3422,51.7422,8.8847,4.2529,0.0000,0.0000,0.3458,3.4483,9.4900,0.0288,0.5091,7.9339,0.0000,7.3576,62.5876,6.0705,2.2284,0.0000,0.5007,0.4957,0.4859,0.4661,0.4922,0.5004,0.4744,0.5008,0.4798,0.3027,0.4706,0.4939,0.5008,0.0875,0.1035,0.0590,0.0094,0.1711,0.0080,0.0398,0.0002,0.0611,0.2690,0.0860,0.0450,0.0008,5.4907,0.3599,1.0000,0.1258,0.9475,0.0000,5.0000,0.1640,0.7900,0.0000,10.0000,0.1954,0.6350,0.0727,6.2183,0.1678,0.7500,0.0000,22.6736,0.3575,0.3800,0.0909,35.6621,0.5369,0.2500,0.2545,30.6784,0.4783,0.2900,0.1455,6.2183,0.1678,0.7500,0.0000,11.1109,0.2065,0.6050,0.0909
accident_22,55,0.6298,0.7556,120,0.8298,400,0.1634,0.0452,1.6177,0.7708,38.8229,7.1896,5.3753,2.4247,1.4980,36.3901,5.6141,0.0000,0.0881,0.2212,0.0000,5.4100,0.7656,11.2368,0.0000,5.3845,4.5764,0.0170,70.1429,1.8544,0.0000,0.3913,0.6285,0.6296,0.6142,0.6244,0.5974,0.6023,0.5959,0.6145,0.6298,0.4697,0.6125,0.6298,0.6273,0.1509,0.0501,0.0750,0.0000,0.3554,0.1858,0.1489,0.0049,0.0896,0.2882,0.1050,0.0093,0.0066,5.3618,0.3141,1.0000,0.0655,0.9175,0.0000,5.0000,0.1403,0.6925,0.0000,10.0000,0.2273,0.5650,0.0364,5.5616,0.1507,0.6750,0.0000,17.9956,0.2800,0.4200,0.0909,30.7442,0.3927,0.2550,0.2545,32.4764,0.4233,0.2375,0.2545,5.5616,0.1507,0.6750,0.0000,11.7177,0.2366,0.5325,0.0364
accident_23,55,0.5600,0.7328,140,0.8227,400,10.7575,0.4196,0.0073,0.4502,20.3399,0.0000,1.0012,1.0606,3.1347,59.8185,0.3058,1.8534,0.8512,2.2965,0.5313,0.0450,0.0630,27.0983,0.0000,0.0000,0.8736,0.0000,66.4715,0.5223,1.5310,0.5674,0.5484,0.5543,0.5600,0.5582,0.5096,0.5600,0.5594,0.5569,0.5526,0.3077,0.5578,0.5571,0.5559,0.1576,0.0264,0.0129,0.0189,0.2063,0.0596,0.0668,0.0000,0.0919,0.3792,0.0363,0.0450,0.0066,5.4312,0.3396,1.0000,0.1209,0.9525,0.0000,5.0000,0.1441,0.7900,0.0182,10.0000,0.1972,0.6350,0.0364,4.4919,0.1386,0.8100,0.0000,20.3379,0.3093,0.4300,0.0909,33.5173,0.4136,0.2625,0.2545,24.3563,0.3457,0.3700,0.1091,4.4919,0.1386,0.8100,0.0000,12.7952,0.2282,0.5700,0.0364
accident_24,55,0.3229,0.4480,160,0.7949,400,0.7235,0.0000,1.3154,2.4565,31.3048,0.1166,8.3158,2.3283,0.0024,32.7959,2.2737,13.8542,4.5128,0.3016,0.0000,2.0156,6.5617,16.6323,0.0000,4.9286,8.3125,0.1030,42.5040,2.2731,10.5046,5.8629,0.3227,0.3229,0.3209,0.3162,0.3028,0.3224,0.3091,0.3160,0.3229,0.2462,0.3205,0.3059,0.3042,0.0707,0.0282,0.0001,0.0278,0.1465,0.0282,0.1012,0.0011,0.0177,0.1359,0.0584,0.0696,0.0203,5.6686,0.4413,1.0000,0.1418,0.9400,0.0000,5.0000,0.2567,0.8125,0.0000,10.0000,0.3129,0.7000,0.0182,6.9144,0.2690,0.7675,0.0000,29.1323,0.4524,0.4175,0.0909,43.4737,0.5444,0.2675,0.2545,26.7176,0.4304,0.4475,0.0364,4.0976,0.2503,0.8350,0.0000,8.9831,0.2936,0.7225,0.0182
accident_25,55,0.6427,0.8262,140,0.8528,400,0.3309,12.3112,2.2206,0.0000,60.7040,11.4983,3.2383,0.0492,3.8365,3.1029,0.0000,2.3436,0.3645,2.0896,6.6920,4.6110,0.0000,52.8538,6.5020,2.8754,0.0518,0.7599,13.4444,0.0000,6.2343,3.8857,0.6383,0.6069,0.6224,0.6427,0.5608,0.5832,0.6160,0.6422,0.6393,0.6210,0.6427,0.6286,0.6393,0.1889,0.2703,0.1119,0.0061,0.4547,0.2449,0.1439,0.0054,0.1626,0.0804,0.0367,0.0450,0.0038,5.3488,0.3082,1.0000,0.1282,0.9575,0.0000,5.0000,0.1352,0.8100,0.0000,10.0000,0.1457,0.6350,0.0000,12.2862,0.1516,0.5625,0.0000,20.9859,0.2725,0.3400,0.0909,30.4233,0.4607,0.2400,0.2364,25.5547,0.3939,0.2850,0.1455,12.2862,0.1516,0.5625,0.0000,13.4871,0.1570,0.5250,0.0182
accident_26,55,0.4644,0.5911,160,0.8158,400,1.1961,0.0000,0.0000,1.8404,41.7942,8.6778,2.2062,0.0000,5.2671,14.2566,2.6354,20.2928,1.8336,5.3165,0.0000,0.0000,3.5714,23.8517,11.9078,5.3436,0.0000,1.1121,25.7233,0.8680,10.9222,11.3834,0.4507,0.4644,0.4644,0.4551,0.4418,0.4450,0.4515,0.4644,0.4598,0.4106,0.4553,0.4171,0.4547,0.0985,0.1089,0.0063,0.0000,0.2527,0.1323,0.0809,0.0002,0.0919,0.1500,0.0702,0.1293,0.0121,5.5270,0.3820,1.0000,0.1722,0.9575,0.0000,5.0000,0.2359,0.8450,0.0182,10.0000,0.2566,0.7375,0.0182,3.6293,0.2122,0.8800,0.0000,26.0696,0.3319,0.4375,0.0727,39.6736,0.4407,0.2575,0.2545,26.0696,0.3319,0.4375,0.0727,3.6293,0.2122,0.8800,0.0000,15.3547,0.2722,0.6275,0.0182
accident_27,55,0.5482,0.7262,180,0.8082,400,5.0638,1.9778,0.0000,0.0000,16.8860,27.1944,1.0915,0.0000,0.0000,25.8403,0.3942,18.5979,2.9540,7.9732,2.1810,0.0000,0.0000,12.4975,14.3031,1.3897,0.0000,0.0000,45.3033,0.0000,13.1264,3.2258,0.5360,0.5469,0.5482,0.5482,0.5423,0.4651,0.5398,0.5482,0.5482,0.4599,0.5455,0.4746,0.5296,0.1391,0.1322,0.0129,0.0061,0.2464,0.2233,0.0728,0.0002,0.0907,0.2080,0.0175,0.1293,0.0121,5.4430,0.3497,1.0000,0.0762,0.9225,0.0000,5.0000,0.2143,0.7500,0.0000,10.0000,0.2752,0.6525,0.0182,7.3915,0.2653,0.7025,0.0000,22.3974,0.3237,0.4525,0.0909,34.9318,0.4019,0.2900,0.2909,22.2282,0.3232,0.4550,0.0727,4.6826,0.2029,0.7600,0.0000,14.4671,0.2913,0.5775,0.0182
accident_28,55,0.6160,0.8775,160,0.8522,400,5.3898,1.1009,24.7313,2.1832,0.0000,0.4612,2.6829,0.1078,7.6504,47.1857,3.3468,2.2248,2.9352,14.7192,1.4272,16.3553,3.5623,0.0000,0.3887,3.5855,1.0675,2.2627,45.4398,2.8777,1.6535,6.6605,0.5428,0.6127,0.4827,0.5932,0.6160,0.6134,0.5882,0.6155,0.5743,0.3967,0.5907,0.6020,0.5866,0.0364,0.0731,0.1787,0.0003,0.1005,0.0036,0.0655,0.0000,0.1050,0.2956,0.0585,0.0246,0.0216,5.3756,0.3189,1.0000,0.1082,0.9125,0.0000,5.0000,0.1288,0.7475,0.0000,10.0000,0.1777,0.5775,0.0000,12.7144,0.2175,0.5100,0.0000,27.9546,0.4327,0.2900,0.0909,31.3084,0.4684,0.2600,0.2727,27.6923,0.4265,0.2925,0.0727,12.7144,0.2175,0.5100,0.0000,11.5384,0.1982,0.5400,0.0000
accident_29,55,0.4292,0.5750,240,0.7806,400,0.5859,4.5025,18.1511,0.0092,12.3852,2.1978,5.2292,0.9756,0.0000,40.8748,0.0000,9.6371,5.4515,5.5654,4.8476,12.0164,0.0932,2.0602,4.9688,7.2248,3.7755,0.0000,49.4080,0.0000,1.1560,8.8841,0.4168,0.4176,0.3741,0.4292,0.4283,0.4195,0.3966,0.4186,0.4292,0.2983,0.4292,0.4012,0.3960,0.0611,0.0843,0.1119,0.0061,0.1386,0.0478,0.0865,0.0240,0.0362,0.1882,0.0161,0.0696,0.0229,5.5622,0.3909,1.0000,0.1691,0.9375,0.0000,5.0000,0.1846,0.8050,0.0000,10.0000,0.2243,0.6600,0.0545,5.8723,0.1878,0.7800,0.0000,12.2718,0.2480,0.6075,0.0909,34.9108,0.4905,0.2900,0.2909,27.1047,0.4189,0.3700,0.1455,5.8723,0.1878,0.7800,0.0000,10.4770,0.2307,0.6500,0.0545
accident (average),55.0000,0.5498,0.7285,183.3333,0.8198,400.0000,4.0869,5.6805,4.7796,1.5700,24.3729,8.4920,4.5357,1.9076,1.5487,26.7716,7.1207,5.4834,3.6504,3.6919,3.8202,5.6551,3.1141,13.8510,3.9460,7.7504,3.6942,1.3024,35.9161,4.7043,4.4454,8.1088,0.5384,0.5397,0.5253,0.5386,0.5246,0.5193,0.5214,0.5390,0.5441,0.4349,0.5291,0.5314,0.5282,0.1202,0.1125,0.0644,0.0050,0.2486,0.1170,0.0981,0.0087,0.0560,0.1905,0.0943,0.0501,0.0224,5.4416,0.3459,1.0000,0.1199,0.9263,0.0018,5.0000,0.1859,0.7767,0.0109,10.0000,0.2229,0.6467,0.0370,6.4074,0.1904,0.7464,0.0000,21.0625,0.3052,0.4393,0.0860,34.1604,0.4390,0.2627,0.2612,29.2524,0.3991,0.3256,0.1455,4.9692,0.1770,0.7780,0.0000,12.9982,0.2375,0.5792,0.0455
