Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bus_stop contribution,car_out_density contribution,cctv_car contribution,cctv_child contribution,hospital_log contribution,intersection_fourway contribution,intersection_single contribution,intersection_threeway contribution,led_density contribution,market_kde_density_log_weighted contribution,senior_facility contribution,silverzone contribution,streetlight contribution,bus_stop permutation importance,car_out_density permutation importance,cctv_car permutation importance,cctv_child permutation importance,hospital_log permutation importance,intersection_fourway permutation importance,intersection_single permutation importance,intersection_threeway permutation importance,led_density permutation importance,market_kde_density_log_weighted permutation importance,senior_facility permutation importance,silverzone permutation importance,streetlight permutation importance,Training gain without bus_stop,Training gain without car_out_density,Training gain without cctv_car,Training gain without cctv_child,Training gain without hospital_log,Training gain without intersection_fourway,Training gain without intersection_single,Training gain without intersection_threeway,Training gain without led_density,Training gain without market_kde_density_log_weighted,Training gain without senior_facility,Training gain without silverzone,Training gain without streetlight,Training gain with only bus_stop,Training gain with only car_out_density,Training gain with only cctv_car,Training gain with only cctv_child,Training gain with only hospital_log,Training gain with only intersection_fourway,Training gain with only intersection_single,Training gain with only intersection_threeway,Training gain with only led_density,Training gain with only market_kde_density_log_weighted,Training gain with only senior_facility,Training gain with only silverzone,Training gain with only streetlight,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
accident_10,55,0.3219,0.4283,160,0.7709,400,11.6464,2.0887,2.0392,0.3490,10.5107,7.2781,8.8292,0.0000,0.1858,26.4123,22.4265,5.9600,2.2740,0.0000,3.5120,2.4522,0.0000,4.1158,0.0000,8.8478,0.0000,1.6389,49.3530,15.7363,8.9957,5.3481,0.3219,0.3183,0.3142,0.3204,0.3206,0.3048,0.3064,0.3219,0.3210,0.2507,0.2930,0.3115,0.3144,0.1018,0.0595,0.0322,0.0003,0.1372,0.0743,0.0790,0.0002,0.0118,0.1252,0.1201,0.0450,0.0066,5.6696,0.4397,1.0000,0.1964,0.9625,0.0000,5.0000,0.2844,0.8575,0.0000,10.0000,0.2917,0.7500,0.0364,8.2184,0.2878,0.7900,0.0000,24.5944,0.3671,0.4775,0.0727,39.3566,0.5112,0.2925,0.2909,24.5944,0.3671,0.4775,0.0727,3.1861,0.2441,0.9000,0.0000,11.4251,0.2954,0.7225,0.0364
accident_11,55,0.4755,0.6939,200,0.8133,400,34.0536,0.2363,0.0000,3.4104,10.2794,13.2191,5.0101,0.2563,0.0000,19.2257,2.7409,7.2588,4.3094,14.3393,1.0810,0.0000,4.1365,0.0000,7.7727,17.7164,1.2240,0.0000,32.3059,0.6522,8.5053,12.2666,0.4473,0.4726,0.4755,0.4589,0.4755,0.4207,0.4283,0.4747,0.4755,0.4102,0.4723,0.4520,0.4515,0.1923,0.0845,0.0063,0.0000,0.2052,0.1307,0.1446,0.0000,0.0381,0.1536,0.0642,0.0696,0.0203,5.5162,0.3729,1.0000,0.1547,0.9475,0.0182,5.0000,0.1673,0.8025,0.0182,10.0000,0.2255,0.6600,0.0364,0.6747,0.1437,0.9600,0.0000,24.6830,0.3501,0.4050,0.0909,37.1722,0.4829,0.2550,0.2545,36.9069,0.4787,0.2575,0.2364,0.6747,0.1437,0.9600,0.0000,11.7844,0.2520,0.6200,0.0545
accident_12,55,0.4747,0.6263,180,0.8148,400,0.0000,10.1697,5.8402,0.4299,29.7766,4.3064,0.7221,1.6369,0.0000,29.7220,12.6678,0.6182,4.1102,0.0000,6.9163,12.4343,0.0000,19.1723,1.4640,4.2042,0.9666,0.0000,39.4707,8.9058,0.3848,6.0811,0.4747,0.4631,0.4519,0.4735,0.4548,0.4591,0.4704,0.4696,0.4747,0.3392,0.4439,0.4725,0.4555,0.0888,0.1246,0.0750,0.0000,0.2215,0.1011,0.0217,0.0000,0.0184,0.2001,0.1395,0.0246,0.0229,5.5174,0.3724,1.0000,0.1049,0.9275,0.0000,5.0000,0.2169,0.7675,0.0000,10.0000,0.2585,0.6575,0.0364,6.6401,0.2490,0.7300,0.0000,21.5482,0.3296,0.4475,0.0727,38.1621,0.5001,0.2425,0.2364,34.4367,0.4380,0.2775,0.1455,5.2120,0.2192,0.7625,0.0000,11.8685,0.2667,0.6200,0.0364
accident_13,55,0.5452,0.7297,220,0.8119,400,0.7004,30.4220,1.7026,0.0000,0.1752,4.1993,0.0367,11.1067,0.3732,32.8938,8.4195,7.7938,2.1767,0.8254,18.5837,5.9631,0.0000,1.9131,0.0000,1.8823,16.3080,0.8331,34.3208,4.3740,6.3103,8.6863,0.5409,0.4893,0.5294,0.5452,0.5448,0.5344,0.5448,0.4756,0.5416,0.3808,0.5209,0.5181,0.5302,0.0408,0.1995,0.0216,0.0000,0.1643,0.0872,0.0226,0.0409,0.0105,0.2072,0.0917,0.0696,0.0203,5.4462,0.3457,1.0000,0.1268,0.9100,0.0182,5.0000,0.2194,0.7900,0.0182,10.0000,0.2339,0.6775,0.0364,0.9438,0.1221,0.9125,0.0000,17.6075,0.2650,0.5225,0.0545,34.6410,0.4033,0.2725,0.2727,32.4878,0.3825,0.2975,0.2000,0.9438,0.1221,0.9125,0.0000,14.8888,0.2526,0.5775,0.0364
accident_14,55,0.5166,0.7375,260,0.8293,400,2.2312,6.5082,4.4086,3.4411,0.0000,34.9287,2.4119,0.1111,0.0000,27.9718,6.5173,6.7387,4.7315,7.4943,3.2610,9.3302,7.7542,0.0000,11.0487,5.9267,0.9557,0.0000,34.6634,5.8513,5.6752,8.0392,0.5045,0.5043,0.4794,0.4916,0.5166,0.4214,0.4989,0.5155,0.5166,0.3867,0.4988,0.4923,0.4813,0.0968,0.0972,0.0590,0.0037,0.1307,0.2044,0.0470,0.0000,0.0259,0.2049,0.0734,0.0450,0.0216,5.4752,0.3580,1.0000,0.0950,0.9175,0.0000,5.0000,0.2140,0.7775,0.0182,10.0000,0.2415,0.6650,0.0545,2.7673,0.1632,0.8375,0.0000,26.7403,0.3519,0.3625,0.0909,36.1607,0.4580,0.2550,0.2545,26.7403,0.3519,0.3625,0.0909,2.7673,0.1632,0.8375,0.0000,13.3575,0.2526,0.5950,0.0545
accident_15,55,0.5545,0.7112,200,0.8022,400,0.0662,5.3560,1.0703,1.0862,18.7807,0.9875,3.0588,4.1357,0.9202,47.7471,11.2139,0.0325,5.5450,1.0725,5.0576,4.8047,4.8570,1.0290,0.0000,6.1214,2.8340,0.0000,58.9641,6.6969,0.0349,8.5281,0.5536,0.5395,0.5428,0.5402,0.5543,0.5471,0.5312,0.5290,0.5502,0.3357,0.5188,0.5542,0.5203,0.0643,0.0983,0.0322,0.0007,0.1770,0.0716,0.0785,0.0121,0.0601,0.2741,0.1179,0.0009,0.0380,5.4372,0.3417,1.0000,0.1101,0.9100,0.0000,5.0000,0.1661,0.7525,0.0364,10.0000,0.2236,0.6175,0.0727,4.2301,0.1604,0.7775,0.0000,13.0353,0.2642,0.5550,0.0909,31.5374,0.4182,0.2900,0.2909,28.4173,0.3844,0.3225,0.1455,4.2301,0.1604,0.7775,0.0000,12.1295,0.2492,0.5725,0.0909
accident_16,55,0.5871,0.7497,220,0.7978,400,4.2770,0.0000,8.9888,1.9090,27.0518,25.0035,7.9711,1.5037,0.3740,16.4662,0.0000,0.0629,6.3921,7.9219,0.0000,9.9561,2.1597,6.1385,9.5708,16.7757,1.1829,0.7259,22.4482,0.0000,0.2509,22.8694,0.5554,0.5871,0.5295,0.5705,0.5754,0.5132,0.5264,0.5815,0.5864,0.4978,0.5871,0.5862,0.5442,0.1090,0.1089,0.1119,0.0007,0.2842,0.2273,0.1178,0.0049,0.1061,0.1380,0.0154,0.0093,0.0380,5.4040,0.3318,1.0000,0.1338,0.9225,0.0000,5.0000,0.1761,0.7975,0.0182,10.0000,0.2075,0.6675,0.0727,1.7676,0.1568,0.8975,0.0000,13.4806,0.2212,0.5875,0.0727,32.6073,0.3851,0.2725,0.2727,41.4717,0.5221,0.1900,0.3273,1.7676,0.1568,0.8975,0.0000,14.9718,0.2283,0.5550,0.1091
accident_17,55,0.5313,0.7038,220,0.8367,400,11.4951,0.7321,10.5190,1.1986,39.4150,4.6602,11.2548,0.4291,0.7732,5.3421,1.9955,6.1262,6.0590,1.2283,0.0000,11.1300,2.2203,11.1017,4.4218,21.3908,0.5197,2.3337,17.8477,6.1508,7.3035,14.3519,0.5311,0.5299,0.4887,0.5276,0.5154,0.5042,0.4623,0.5292,0.5252,0.4982,0.5250,0.5106,0.4936,0.2063,0.1180,0.1327,0.0000,0.3288,0.1021,0.2065,0.0054,0.0184,0.0909,0.0734,0.0696,0.0367,5.4600,0.3479,1.0000,0.1507,0.9325,0.0000,5.0000,0.1887,0.8100,0.0000,10.0000,0.2048,0.6750,0.0000,16.5497,0.2401,0.5250,0.0000,24.1815,0.2998,0.3800,0.0909,36.0250,0.4864,0.2375,0.2364,23.8792,0.2976,0.3850,0.0727,10.9609,0.2095,0.6525,0.0000,13.7215,0.2284,0.5875,0.0000
accident_18,55,0.7502,0.9456,160,0.8486,400,0.3988,0.5211,0.9018,2.1335,56.9318,15.7171,10.8845,0.0000,0.0000,7.9274,0.4060,2.0145,2.1635,3.1080,2.6890,2.5818,9.1485,23.3340,10.1812,15.6177,0.0000,0.0000,25.5651,0.3410,2.6598,4.7740,0.7441,0.7431,0.7374,0.7271,0.7129,0.6432,0.6457,0.7502,0.7502,0.6848,0.7447,0.7415,0.7342,0.2654,0.2017,0.0750,0.0007,0.4550,0.2656,0.2631,0.0000,0.0753,0.1519,0.0860,0.0450,0.0129,5.2415,0.2755,1.0000,0.0757,0.9300,0.0000,5.0000,0.1222,0.7375,0.0364,10.0000,0.1395,0.5650,0.0364,4.9354,0.1218,0.7400,0.0000,15.4989,0.1864,0.4175,0.0909,27.9129,0.3953,0.2375,0.2364,25.5959,0.3645,0.2575,0.1636,4.9354,0.1218,0.7400,0.0000,13.3537,0.1640,0.4700,0.0364
accident_19,55,0.7969,0.9598,200,0.8388,400,4.4354,2.2803,0.0254,3.4151,46.3850,0.5637,4.4330,14.0048,0.1034,5.4369,14.4003,0.1332,4.3835,0.0000,0.1024,0.0000,0.0000,30.9477,0.0000,1.6975,42.7280,0.0000,8.4193,6.0479,0.0000,10.0572,0.7969,0.7969,0.7963,0.7758,0.7349,0.7923,0.7598,0.7025,0.7966,0.7515,0.7447,0.7941,0.7673,0.2364,0.1984,0.0129,0.0181,0.4964,0.1168,0.2171,0.1066,0.0319,0.0808,0.2078,0.0009,0.0633,5.1945,0.2613,1.0000,0.0955,0.8325,0.0000,5.0000,0.1605,0.7075,0.0545,10.0000,0.1729,0.5850,0.0909,1.4236,0.1097,0.8175,0.0000,20.4043,0.2194,0.3650,0.0909,27.3533,0.2738,0.2550,0.2545,20.4043,0.2194,0.3650,0.0909,1.4236,0.1097,0.8175,0.0000,16.0454,0.1925,0.4500,0.0909
