Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.27543E-5,0.003275429,0.008373615,1,0,0
1.50979E-4,0.018373355,0.038018699,0.9975,0,0
2.15525E-4,0.03992583,0.05382786,0.995,0,0
2.70753E-4,0.067001114,0.06714848,0.9925,0,0
3.43831E-4,0.133058821,0.084486592,0.9875,0,0
3.5979E-4,0.205016458,0.088229818,0.9825,0,0
3.59832E-4,0.312959872,0.088239732,0.975,0,0
3.59926E-4,0.420931187,0.088261624,0.9675,0,0
3.60213E-4,0.528993959,0.088328786,0.96,0,0
3.60941E-4,0.601175015,0.08849935,0.955,0,0
3.6265E-4,0.70977557,0.088899152,0.9475,0,0
3.6545E-4,0.782613833,0.089553768,0.9425,0,0
3.66633E-4,0.81927713,0.089830226,0.94,0,0
3.71507E-4,0.929887632,0.090968433,0.9325,0,0
3.77839E-4,1.005400403,0.0924448,0.9275,0,0
3.79445E-4,1.11908464,0.092819004,0.92,0,0
3.90827E-4,1.235315217,0.095465984,0.9125,0,0
3.9914E-4,1.314640321,0.097394265,0.9075,0,0
4.11996E-4,1.438046443,0.100368543,0.9,0,0
4.17581E-4,1.521258042,0.10165739,0.895,0,0
4.56813E-4,1.789141955,0.110660061,0.88,0,0
5.15072E-4,2.034958867,0.123862408,0.8675,0,0
5.50815E-4,2.303030607,0.1318653,0.855,0,0
5.88217E-4,2.531323481,0.140161397,0.845,0,0
6.25294E-4,2.777098149,0.148307012,0.835,0,0
7.75176E-4,3.068876755,0.180456368,0.825,0,0
8.19174E-4,3.310517605,0.189661318,0.8175,0,0
8.27322E-4,3.558317354,0.191354769,0.81,0,0
8.48495E-4,3.809226776,0.195738237,0.8025,0,0
8.60848E-4,4.066232618,0.198284871,0.795,0,0
8.66124E-4,4.325322314,0.199370054,0.7875,0,0
8.82787E-4,4.50050048,0.202787565,0.7825,0,0
8.94396E-4,4.767623748,0.205160103,0.775,0,0
9.47482E-4,5.04595398,0.215919003,0.7675,0,0
1.00508E-3,5.341949022,0.227427044,0.76,0,0
1.03532E-3,5.547973471,0.233401707,0.755,0,0
1.05172E-3,5.757501904,0.236624255,0.75,0,0
1.07802E-3,6.079955072,0.241761061,0.7425,0,0
1.14663E-3,6.308951617,0.254998175,0.7375,0,0
1.18939E-3,6.542992433,0.263133162,0.7325,0,0
1.25532E-3,6.789547688,0.275499093,0.7275,0,0
1.25585E-3,7.04067649,0.275597639,0.7225,0,0
1.25621E-3,7.291912412,0.275665145,0.7175,0,0
1.25653E-3,7.543198235,0.275724367,0.7125,0,0
1.25989E-3,7.795130392,0.276348542,0.7075,0,0
1.26123E-3,8.047293348,0.276598917,0.7025,0,0
1.2617E-3,8.29963049,0.276685296,0.6975,0,0
1.26419E-3,8.552226329,0.277147977,0.6925,0,0
1.26691E-3,8.805367515,0.277651551,0.6875,0,0
1.26904E-3,9.058976913,0.278046762,0.6825,0,0
1.27041E-3,9.313036086,0.278300434,0.6775,0,0
1.27098E-3,9.567202663,0.27840701,0.6725,0,0
1.27263E-3,9.821675541,0.278711915,0.6675,0,0
1.27625E-3,10.076878833,0.279382312,0.6625,0,0
1.2818E-3,10.332831477,0.280408855,0.6575,0,0
1.28604E-3,10.589799935,0.281191347,0.6525,0,0
1.28961E-3,10.847433331,0.281849155,0.6475,0,0
1.29067E-3,11.105555872,0.282045446,0.6425,0,0
1.29544E-3,11.364319246,0.282923468,0.6375,0,0
1.29649E-3,11.623610489,0.283117489,0.6325,0,0
1.2968E-3,11.753290847,0.283174545,0.63,0,0
1.30119E-3,12.013322336,0.283981958,0.625,0,0
1.30348E-3,12.273845322,0.284401648,0.62,0,0
1.31139E-3,12.536108798,0.285853039,0.615,0.018181818,0
1.32022E-3,12.80000104,0.287470763,0.61,0.018181818,0
1.32029E-3,13.064054415,0.287484574,0.605,0.018181818,0
1.32643E-3,13.32932584,0.288605143,0.6,0.018181818,0
