Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.11175E-6,0.000911175,0.002139752,1,0,0
6.96345E-5,0.007874621,0.016236825,0.9975,0,0
9.11995E-5,0.016994571,0.021211527,0.995,0,0
1.11887E-4,0.028183256,0.025960118,0.9925,0,0
1.9245E-4,0.06515922,0.044234163,0.9875,0,0
2.02657E-4,0.104993272,0.046524739,0.9825,0,0
2.75159E-4,0.20082127,0.062638223,0.9725,0,0
3.73828E-4,0.309528384,0.084130905,0.965,0,0
4.54845E-4,0.438502721,0.10140939,0.9575,0,0
4.85918E-4,0.533274819,0.107949407,0.9525,0,0
5.56391E-4,0.643283232,0.122606525,0.9475,0,0
5.68072E-4,0.7000904,0.12501251,0.945,0,0
6.12037E-4,0.761294057,0.134009396,0.9425,0,0
6.15498E-4,0.822843813,0.134713705,0.94,0,0
6.90755E-4,0.959560176,0.149887655,0.935,0,0
6.94992E-4,1.029059359,0.150734005,0.9325,0,0
7.4724E-4,1.103783315,0.161101494,0.93,0,0
7.62758E-4,1.255783234,0.164156377,0.925,0,0
7.83644E-4,1.334147669,0.168250367,0.9225,0,0
7.83654E-4,1.412513063,0.168252242,0.92,0,0
7.83691E-4,1.569250507,0.168259506,0.915,0,0
7.84053E-4,1.804421056,0.168330293,0.9075,0,0
7.84903E-4,2.039805962,0.168496361,0.9,0,0
7.87078E-4,2.275691175,0.168921544,0.8925,0,0
7.92167E-4,2.512761804,0.169915141,0.885,0,0
8.0406E-4,2.7525209,0.172232745,0.8775,0,0
8.36113E-4,3.079211011,0.17844675,0.8675,0,0
8.41043E-4,3.331064108,0.17939834,0.86,0,0
8.54273E-4,3.500755202,0.181946514,0.855,0,0
8.77312E-4,3.759980141,0.186365219,0.8475,0,0
8.84863E-4,4.024677982,0.187808242,0.84,0,0
8.85367E-4,4.290280562,0.187904488,0.8325,0,0
8.86441E-4,4.556066675,0.188109534,0.825,0,0
8.87352E-4,4.822196944,0.188283336,0.8175,0,0
8.89763E-4,5.08893955,0.188743423,0.81,0,0
8.90131E-4,5.26695241,0.188813543,0.805,0,0
8.91765E-4,5.5343213,0.189125101,0.7975,0,0
8.95477E-4,5.802649169,0.189832458,0.79,0,0
8.96525E-4,6.071589545,0.190032026,0.7825,0,0
8.97585E-4,6.251065071,0.190233701,0.7775,0,0
9.04081E-4,6.521886155,0.191469353,0.77,0,0
9.05708E-4,6.793400971,0.191778673,0.7625,0,0
9.06451E-4,7.065234957,0.19191974,0.755,0,0
9.12153E-4,7.338131945,0.193002326,0.7475,0,0
9.14042E-4,7.520840404,0.193360567,0.7425,0,0
9.16744E-4,7.795745831,0.19387278,0.735,0,0
9.26919E-4,8.072807035,0.195798629,0.7275,0,0
9.31159E-4,8.258644263,0.196599809,0.7225,0,0
9.35036E-4,8.538980393,0.19733181,0.715,0,0
9.38327E-4,8.820261296,0.197952622,0.7075,0,0
9.45594E-4,9.00928587,0.199321684,0.7025,0,0
9.60535E-4,9.295875536,0.202129,0.695,0,0
9.66811E-4,9.585418676,0.203305223,0.6875,0,0
9.7219E-4,9.779498746,0.204312005,0.6825,0,0
9.74636E-4,10.071556397,0.204769412,0.675,0,0
9.78005E-4,10.266845145,0.205399072,0.67,0,0
9.86863E-4,10.562671036,0.207052067,0.6625,0,0
9.96605E-4,10.761081914,0.208865926,0.6575,0,0
1.00036E-3,11.060889036,0.209563283,0.65,0,0
1.01765E-3,11.263629749,0.212770402,0.645,0,0
1.03666E-3,11.5724326,0.216280515,0.6375,0,0
1.04965E-3,11.78106746,0.21866977,0.6325,0,0
1.0613E-3,12.09764467,0.220807136,0.625,0,0
1.06368E-3,12.310154845,0.221243709,0.62,0,0
1.0654E-3,12.523151915,0.221557052,0.615,0,0
1.07885E-3,12.845998396,0.224015239,0.6075,0,0
1.08416E-3,13.062828228,0.224982631,0.6025,0,0
1.09653E-3,13.281346967,0.22723345,0.5975,0,0
1.09966E-3,13.501085561,0.227802566,0.5925,0,0
1.10317E-3,13.83182777,0.228439674,0.585,0,0
1.10426E-3,14.052656135,0.228636363,0.58,0,0
1.10799E-3,14.274090881,0.229313523,0.575,0,0
1.11471E-3,14.607684363,0.230529835,0.5675,0,0
1.12056E-3,14.831358198,0.231586536,0.5625,0,0
1.12381E-3,15.056080874,0.232173009,0.5575,0,0
1.12447E-3,15.280964878,0.232293491,0.5525,0,0
1.1336E-3,15.507242441,0.233939858,0.5475,0,0
1.15222E-3,15.851964773,0.237284774,0.54,0,0
1.16015E-3,16.08325215,0.238705203,0.535,0,0
1.16611E-3,16.316170171,0.239771225,0.53,0,0
1.16816E-3,16.549707965,0.240138387,0.525,0,0
1.17838E-3,16.785282802,0.241961436,0.52,0.018181818,0
1.19392E-3,17.023937981,0.244726055,0.515,0.018181818,0
1.19422E-3,17.262754226,0.244779419,0.51,0.018181818,0
1.19466E-3,17.501666429,0.24485703,0.505,0.018181818,0
1.20455E-3,17.861816966,0.246610784,0.4975,0.018181818,0
1.21143E-3,18.103896915,0.24782721,0.4925,0.018181818,0
1.22523E-3,18.347877891,0.250263635,0.4875,0.018181818,0
1.23268E-3,18.594209686,0.251575686,0.4825,0.036363636,0
1.24338E-3,18.842331768,0.253456557,0.4775,0.036363636,0
1.24623E-3,19.091342723,0.253956618,0.4725,0.036363636,0
1.2492E-3,19.341021258,0.254476854,0.4675,0.036363636,0
1.25101E-3,19.591112606,0.254794523,0.4625,0.036363636,0
1.26233E-3,19.842481815,0.256775246,0.4575,0.036363636,0
1.27857E-3,20.097291494,0.259606738,0.4525,0.072727273,0
1.31116E-3,20.357922739,0.26525753,0.4475,0.072727273,0
1.32433E-3,20.622270462,0.267529618,0.4425,0.072727273,0
1.32468E-3,20.754738863,0.267589879,0.44,0.072727273,0
1.35442E-3,21.025505796,0.272691859,0.435,0.072727273,0
1.36268E-3,21.297730451,0.27410369,0.43,0.072727273,0
1.37025E-3,21.571413988,0.275394187,0.425,0.072727273,0
1.3821E-3,21.847435918,0.277408801,0.42,0.072727273,0
1.40885E-3,22.127456247,0.28193858,0.415,0.072727273,0
1.41333E-3,22.268788878,0.28269433,0.4125,0.072727273,0
1.44184E-3,22.554866744,0.287486349,0.4075,0.072727273,0
1.4501E-3,22.844411028,0.288868515,0.4025,0.072727273,0
1.46022E-3,23.136139909,0.290559137,0.3975,0.072727273,0
1.4661E-3,23.282749485,0.291537796,0.395,0.072727273,0
1.48832E-3,23.578785046,0.295229592,0.39,0.072727273,0
1.50287E-3,23.879170359,0.297636347,0.385,0.072727273,0
1.50715E-3,24.029885371,0.298342491,0.3825,0.090909091,0
1.52221E-3,24.333736232,0.300822515,0.3775,0.127272727,0
1.5266E-3,24.638757807,0.30154263,0.3725,0.127272727,0
1.54129E-3,24.792886333,0.303950545,0.37,0.145454545,0
1.54477E-3,25.101719677,0.304520756,0.365,0.163636364,0
1.57072E-3,25.25879198,0.308750862,0.3625,0.163636364,0
1.58375E-3,25.575514059,0.310864985,0.3575,0.163636364,0
1.66804E-3,25.905061252,0.324385831,0.3525,0.163636364,0
1.68542E-3,26.073603245,0.327140412,0.35,0.163636364,0
1.70502E-3,26.413101195,0.330233785,0.345,0.2,0
1.71434E-3,26.584535214,0.331699499,0.3425,0.2,0
1.72774E-3,26.757309103,0.333801231,0.34,0.2,0
1.74035E-3,27.104173187,0.335772825,0.335,0.2,0
1.75089E-3,27.279262111,0.337417051,0.3325,0.2,0
1.82318E-3,27.640643495,0.348581936,0.3275,0.2,0
1.8311E-3,27.82375378,0.349794375,0.325,0.2,0
1.84338E-3,28.008091507,0.351667867,0.3225,0.2,0
1.93524E-3,28.387930179,0.365519461,0.3175,0.2,0
1.94593E-3,28.582523045,0.36711121,0.315,0.2,0
1.95311E-3,28.777834429,0.36817934,0.3125,0.2,0
2.0241E-3,29.178151101,0.378635373,0.3075,0.2,0
2.03279E-3,29.381429846,0.379903298,0.305,0.218181818,0
2.05441E-3,29.586870893,0.383047418,0.3025,0.218181818,0
2.08608E-3,29.795479046,0.387623835,0.3,0.218181818,0
2.11397E-3,30.006876504,0.391626209,0.2975,0.218181818,0
2.19104E-3,30.444109252,0.402549114,0.2925,0.218181818,0
2.19265E-3,30.663374232,0.402774933,0.29,0.218181818,0
2.21427E-3,30.884800883,0.405802206,0.2875,0.218181818,0
2.27418E-3,31.11221937,0.414113382,0.285,0.218181818,0
2.27688E-3,31.339907385,0.414484496,0.2825,0.218181818,0
2.30496E-3,31.570403572,0.418337114,0.28,0.218181818,0
2.32247E-3,31.802650252,0.420725835,0.2775,0.218181818,0
2.33523E-3,32.036173725,0.422461955,0.275,0.218181818,0
2.3437E-3,32.270543909,0.4236104,0.2725,0.218181818,0
2.3883E-3,32.509373751,0.42962172,0.27,0.218181818,0
2.44422E-3,32.753795976,0.437071355,0.2675,0.218181818,0
2.50444E-3,33.004239774,0.444983965,0.265,0.218181818,0
2.51053E-3,33.255292493,0.445777894,0.2625,0.218181818,0
2.64932E-3,33.520224655,0.463569562,0.26,0.218181818,0
2.70229E-3,33.790453376,0.470207498,0.2575,0.218181818,0
2.72773E-3,34.063226228,0.473366674,0.255,0.218181818,0
2.77662E-3,34.340887847,0.479384522,0.2525,0.218181818,0
2.78052E-3,34.618939914,0.47986217,0.25,0.218181818,0
2.79385E-3,34.898325369,0.481490045,0.2475,0.218181818,0
2.79596E-3,35.177921738,0.481747074,0.245,0.236363636,0
2.80279E-3,35.458200574,0.482577884,0.2425,0.236363636,0
2.83299E-3,35.741499526,0.486238504,0.24,0.236363636,0
2.83457E-3,36.024956277,0.486429054,0.2375,0.236363636,0
2.83847E-3,36.30880317,0.48689987,0.235,0.236363636,0
2.87843E-3,36.596645969,0.491697269,0.2325,0.254545455,0
2.97596E-3,36.894241667,0.503218896,0.23,0.290909091,0
3.00125E-3,37.194366769,0.506164125,0.2275,0.290909091,0
3.03154E-3,37.497521109,0.509668394,0.225,0.290909091,0
3.09327E-3,37.806847854,0.51673196,0.2225,0.290909091,0
3.15107E-3,38.121955211,0.523254864,0.22,0.290909091,0
3.16113E-3,38.438068447,0.524380883,0.2175,0.290909091,0
3.16494E-3,38.754562615,0.524806617,0.215,0.290909091,0
3.16778E-3,39.071340843,0.525123839,0.2125,0.290909091,0
3.18289E-3,39.389629956,0.526807549,0.21,0.290909091,0
