Predictor variable,Categorical,Sample average
bus_stop,false,1.8363636363636364
car_out_density,false,0.6181818181818182
cctv_car,false,0.2909090909090909
cctv_child,false,0.16363636363636364
hospital_log,false,1.3768345182592219
intersection_fourway,false,0.5454545454545454
intersection_single,false,1.1636363636363636
intersection_threeway,false,0.14545454545454545
led_density,false,0.2909090909090909
market_kde_density_log_weighted,false,4.72860674507984E-13
senior_facility,false,0.5454545454545454
silverzone,false,0.09090909090909091
streetlight,false,0.45454545454545453
