Predictor variable,Categorical,Sample average
bus_stop,false,1.4727272727272727
car_out_density,false,0.41818181818181815
cctv_car,false,0.23636363636363636
cctv_child,false,0.21818181818181817
hospital_log,false,1.0009518775072965
intersection_fourway,false,0.34545454545454546
intersection_single,false,0.8181818181818182
intersection_threeway,false,0.16363636363636364
led_density,false,0.18181818181818182
market_kde_density_log_weighted,false,4.693247657973005E-13
senior_facility,false,0.6
silverzone,false,0.09090909090909091
streetlight,false,0.6181818181818182
