Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.77673E-6,0.000477673,0.001031593,1,0,0
3.96369E-5,0.004441363,0.008527908,0.9975,0,0
5.4603E-5,0.009901664,0.01172893,0.995,0,0
5.82911E-5,0.015730772,0.012516166,0.9925,0,0
7.04365E-5,0.028752215,0.015104228,0.9875,0,0
1.00236E-4,0.057642387,0.021425373,0.98,0,0
1.83372E-4,0.100962506,0.038847135,0.9725,0,0
2.72992E-4,0.215562991,0.057280302,0.96,0,0
3.04804E-4,0.303115378,0.063738048,0.9525,0,0
3.71521E-4,0.405976665,0.077138266,0.945,0,0
4.05147E-4,0.524221162,0.083819043,0.9375,0,0
4.2814E-4,0.609450923,0.08835958,0.9325,0,0
4.75414E-4,0.703351878,0.097624377,0.9275,0,0
4.79552E-4,0.751307048,0.098430696,0.925,0,0
4.89852E-4,0.800292237,0.100434995,0.9225,0,0
5.16402E-4,0.901410473,0.105580827,0.9175,0,0
5.29739E-4,1.00708057,0.108154713,0.9125,0,0
5.39056E-4,1.114794861,0.109948246,0.9075,0,0
5.81306E-4,1.230043584,0.118036627,0.9025,0,0
6.00557E-4,1.349820524,0.121697677,0.8975,0,0
6.04229E-4,1.410243471,0.122394334,0.895,0,0
6.0423E-4,1.531089491,0.122394523,0.89,0,0
6.0424E-4,1.772783381,0.12239632,0.88,0,0
6.04262E-4,2.014485884,0.122400484,0.87,0,0
6.04409E-4,2.256223426,0.122428304,0.86,0,0
6.04751E-4,2.558530385,0.122493161,0.8475,0,0
6.05573E-4,2.800635938,0.122649004,0.8375,0,0
6.05983E-4,3.04293016,0.122726735,0.8275,0,0
6.07893E-4,3.285866432,0.123088706,0.8175,0,0
6.09819E-4,3.529353771,0.123453547,0.8075,0,0
6.11402E-4,3.773656606,0.123753323,0.7975,0,0
6.15606E-4,4.019240079,0.124548974,0.7875,0,0
6.16962E-4,4.265736359,0.124805374,0.7775,0,0
6.2507E-4,4.514067391,0.126337357,0.7675,0,0
6.27487E-4,4.764846609,0.126793502,0.7575,0,0
6.37904E-4,5.017308231,0.128756764,0.7475,0,0
6.43841E-4,5.27419853,0.129873753,0.7375,0,0
6.55472E-4,5.533116239,0.132057692,0.7275,0,0
6.61919E-4,5.796991252,0.133265984,0.7175,0,0
6.73772E-4,6.064374263,0.135482929,0.7075,0,0
6.86458E-4,6.269593419,0.137849426,0.7,0,0
6.97786E-4,6.547650608,0.139957054,0.69,0,0
7.04004E-4,6.75839333,0.141111788,0.6825,0,0
7.19829E-4,7.044758218,0.144043669,0.6725,0,0
7.3029E-4,7.262284068,0.145976286,0.665,0,0
7.46835E-4,7.558151984,0.149023757,0.655,0,0
7.56806E-4,7.784238195,0.150855311,0.6475,0,0
7.70948E-4,8.013655728,0.153446021,0.64,0,0
7.83135E-4,8.325144514,0.155672273,0.63,0,0
7.99289E-4,8.564304913,0.158614205,0.6225,0,0
8.05236E-4,8.80488052,0.159694809,0.615,0,0
8.221E-4,9.051101701,0.162751075,0.6075,0,0
8.43484E-4,9.30227626,0.166610827,0.6,0,0
8.64092E-4,9.559178364,0.170313502,0.5925,0,0
