Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.93823E-4,0.039382309,0.079504387,1,0,0
4.43702E-4,0.083752498,0.089112017,0.9975,0,0
4.46033E-4,0.12835578,0.089558538,0.995,0,0
4.67054E-4,0.220689451,0.093575515,0.99,0,0
5.69301E-4,0.331157272,0.112863068,0.985,0,0
5.92119E-4,0.447456868,0.117110963,0.98,0,0
5.99174E-4,0.507374226,0.118420197,0.9775,0,0
6.05393E-4,0.62829305,0.119572791,0.9725,0,0
6.39886E-4,0.755712588,0.125937891,0.9675,0,0
6.40835E-4,0.819796134,0.126112454,0.965,0,0
6.50972E-4,0.94942677,0.127973823,0.96,0,0
6.52469E-4,1.014673653,0.128248372,0.9575,0,0
6.76328E-4,1.147818645,0.132612715,0.9525,0,0
6.79856E-4,1.215804283,0.133256211,0.95,0,0
6.86835E-4,1.353171296,0.134527668,0.945,0,0
6.86835E-4,1.421854816,0.134527689,0.9425,0,0
6.86836E-4,1.559221898,0.13452776,0.9375,0,0
6.86837E-4,1.765272836,0.134527964,0.93,0,0
6.86848E-4,2.040009671,0.134530022,0.92,0,0
6.86869E-4,2.31475302,0.134533892,0.91,0,0
6.86916E-4,2.520822173,0.134542476,0.9025,0,0
6.8704E-4,2.795608382,0.134564998,0.8925,0,0
6.87059E-4,3.001724271,0.134568385,0.885,0,0
6.87283E-4,3.276589399,0.134609264,0.875,0,0
6.87447E-4,3.551558133,0.134639028,0.865,0,0
6.87847E-4,3.757872094,0.134711961,0.8575,0,0
6.8833E-4,4.033112126,0.134799707,0.8475,0,0
6.88712E-4,4.308551301,0.134869344,0.8375,0,0
6.89154E-4,4.515254133,0.134949793,0.83,0,0
6.90396E-4,4.791274219,0.135175749,0.82,0,0
6.90724E-4,5.067495427,0.135235465,0.81,0,0
6.92534E-4,5.275197399,0.135564611,0.8025,0,0
6.93E-4,5.552356292,0.135649269,0.7925,0,0
6.94863E-4,5.760615632,0.135987999,0.785,0,0
6.95847E-4,6.038851502,0.136166887,0.775,0,0
6.9854E-4,6.317771666,0.136655971,0.765,0,0
7.00373E-4,6.527636306,0.1369888,0.7575,0,0
7.01536E-4,6.808034889,0.137199924,0.7475,0,0
7.03432E-4,7.0190058,0.137544001,0.74,0,0
7.07301E-4,7.301191599,0.1382456,0.73,0,0
7.10422E-4,7.513980867,0.138811247,0.7225,0,0
7.13473E-4,7.798695243,0.139363704,0.7125,0,0
7.14186E-4,8.012914811,0.139492869,0.705,0,0
7.2174E-4,8.300317753,0.140859078,0.695,0,0
7.26428E-4,8.517705332,0.141705986,0.6875,0,0
7.30268E-4,8.809354925,0.142398928,0.6775,0,0
7.32423E-4,9.028854233,0.142787662,0.67,0,0
7.34883E-4,9.3222287,0.143231143,0.66,0,0
7.40801E-4,9.543818048,0.144297085,0.6525,0,0
7.43393E-4,9.766570058,0.144763446,0.645,0,0
7.48588E-4,10.065305593,0.145697582,0.635,0,0
7.51431E-4,10.290496912,0.146208317,0.6275,0,0
7.55815E-4,10.516481986,0.146995305,0.62,0,0
7.61644E-4,10.820110255,0.148040632,0.61,0,0
7.63819E-4,11.049169838,0.148430234,0.6025,0,0
7.65029E-4,11.278485166,0.148647005,0.595,0,0
7.69838E-4,11.509033356,0.149507729,0.5875,0,0
7.75961E-4,11.8183428,0.150602482,0.5775,0,0
7.79679E-4,12.05187629,0.151266506,0.57,0,0
7.81771E-4,12.286157296,0.151640089,0.5625,0,0
7.89846E-4,12.522482568,0.153079867,0.555,0.018181818,0
8.0258E-4,12.762407557,0.155345488,0.5475,0.018181818,0
8.03459E-4,13.003416797,0.155501547,0.54,0.018181818,0
8.0596E-4,13.325286872,0.15594578,0.53,0.018181818,0
8.1216E-4,13.568327735,0.157045771,0.5225,0.018181818,0
8.1753E-4,13.812802232,0.157997511,0.515,0.018181818,0
8.26006E-4,14.060076407,0.159497479,0.5075,0.018181818,0
8.3277E-4,14.309276139,0.160692491,0.5,0.018181818,0
8.34829E-4,14.559515986,0.161056034,0.4925,0.018181818,0
8.45825E-4,14.811842876,0.16299423,0.485,0.054545455,0
8.60141E-4,15.068096091,0.165511131,0.4775,0.054545455,0
8.73503E-4,15.329160021,0.167853344,0.47,0.054545455,0
8.92432E-4,15.506061615,0.171160304,0.465,0.054545455,0
8.99811E-4,15.774943441,0.172445729,0.4575,0.054545455,0
9.13227E-4,16.04728854,0.174777858,0.45,0.054545455,0
9.19731E-4,16.322728983,0.175906188,0.4425,0.054545455,0
9.25591E-4,16.507600797,0.176921478,0.4375,0.054545455,0
9.45776E-4,16.788893266,0.18040884,0.43,0.072727273,0
9.53631E-4,17.074047511,0.181762038,0.4225,0.072727273,0
9.57756E-4,17.265276227,0.182471667,0.4175,0.072727273,0
9.73603E-4,17.555081251,0.185192363,0.41,0.072727273,0
9.85124E-4,17.751286712,0.187164647,0.405,0.072727273,0
1.00515E-3,18.050100506,0.190581816,0.3975,0.090909091,0
1.01143E-3,18.25224086,0.191649383,0.3925,0.090909091,0
1.09598E-3,18.567508522,0.205900692,0.385,0.090909091,0
1.1463E-3,18.794502305,0.214261655,0.38,0.090909091,0
1.2509E-3,19.044624072,0.231361371,0.375,0.090909091,0
1.26885E-3,19.296802379,0.234257362,0.37,0.090909091,0
1.30754E-3,19.555263069,0.240465389,0.365,0.090909091,0
1.38911E-3,19.827151608,0.253385697,0.36,0.090909091,0
1.40858E-3,20.107085242,0.256438307,0.355,0.090909091,0
1.4213E-3,20.390549703,0.258425062,0.35,0.090909091,0
1.4284E-3,20.533390089,0.259532329,0.3475,0.090909091,0
1.51049E-3,20.834598339,0.272208656,0.3425,0.090909091,0
1.51757E-3,21.137621026,0.273291862,0.3375,0.127272727,0
1.56065E-3,21.293686461,0.279848006,0.335,0.127272727,0
1.66094E-3,21.616428565,0.294880381,0.33,0.127272727,0
1.68524E-3,21.784952469,0.298475967,0.3275,0.127272727,0
2.09616E-3,22.172960632,0.35656868,0.3225,0.127272727,0
2.10588E-3,22.383549021,0.357883345,0.32,0.127272727,0
2.12715E-3,22.59626365,0.360748909,0.3175,0.127272727,0
2.15504E-3,22.811767865,0.364489089,0.315,0.127272727,0
2.19513E-3,23.031280709,0.369825435,0.3125,0.127272727,0
2.214E-3,23.252681208,0.372322768,0.31,0.127272727,0
2.23441E-3,23.69921031,0.375010605,0.305,0.127272727,0
2.24069E-3,23.923278906,0.375835739,0.3025,0.145454545,0
2.24385E-3,24.147663481,0.376250473,0.3,0.145454545,0
2.28858E-3,24.376521761,0.382092862,0.2975,0.145454545,0
2.32478E-3,24.608999841,0.386780027,0.295,0.145454545,0
2.34017E-3,24.843017237,0.388762449,0.2925,0.145454545,0
2.36342E-3,25.07935959,0.391744521,0.29,0.145454545,0
2.37259E-3,25.316618447,0.392916061,0.2875,0.145454545,0
2.38054E-3,25.554672052,0.393930136,0.285,0.145454545,0
2.40707E-3,25.795379283,0.397303829,0.2825,0.163636364,0
2.43451E-3,26.038830113,0.400772167,0.28,0.163636364,0
2.45817E-3,26.284647276,0.403747547,0.2775,0.163636364,0
2.49264E-3,26.533910866,0.408054604,0.275,0.181818182,0
2.62834E-3,26.796744971,0.424713601,0.2725,0.181818182,0
2.65214E-3,27.061958725,0.427586136,0.27,0.181818182,0
2.66419E-3,27.328377303,0.429035036,0.2675,0.181818182,0
2.68232E-3,27.59660931,0.431208923,0.265,0.181818182,0
2.71085E-3,27.867694474,0.434612461,0.2625,0.181818182,0
2.71281E-3,28.138975578,0.43484545,0.26,0.181818182,0
2.77114E-3,28.416089146,0.441736934,0.2575,0.218181818,0
2.79949E-3,28.696038146,0.445056783,0.255,0.218181818,0
2.80196E-3,28.97623447,0.445345424,0.2525,0.218181818,0
2.8201E-3,29.25824465,0.447457706,0.25,0.218181818,0
2.87985E-3,29.546229914,0.454359119,0.2475,0.218181818,0
2.91466E-3,29.837696093,0.458339879,0.245,0.218181818,0
2.92046E-3,30.12974165,0.45899963,0.2425,0.218181818,0
2.93523E-3,30.423264179,0.460677855,0.24,0.236363636,0
3.01488E-3,30.724752651,0.469639892,0.2375,0.254545455,0
3.08974E-3,31.033726526,0.477925534,0.235,0.254545455,0
3.22768E-3,31.356494996,0.492857273,0.2325,0.254545455,0
3.27658E-3,31.684152771,0.498046478,0.23,0.254545455,0
3.49924E-3,32.034076807,0.521015078,0.2275,0.254545455,0
3.51644E-3,32.385720358,0.522744487,0.225,0.254545455,0
3.53082E-3,32.73880226,0.524186317,0.2225,0.254545455,0
3.68005E-3,33.106806797,0.538890426,0.22,0.254545455,0
3.7264E-3,33.479447286,0.543365314,0.2175,0.254545455,0
3.73224E-3,33.852670819,0.543925018,0.215,0.272727273,0
3.74212E-3,34.226882393,0.544871941,0.2125,0.272727273,0
3.82348E-3,34.609230804,0.55259577,0.21,0.290909091,0
3.82652E-3,34.991883145,0.552881721,0.2075,0.290909091,0
3.83732E-3,35.375614983,0.553895878,0.205,0.290909091,0
3.85117E-3,35.760732047,0.555193891,0.2025,0.290909091,0
3.89851E-3,36.150583335,0.559601609,0.2,0.290909091,0
3.90142E-3,36.540724963,0.559870498,0.1975,0.290909091,0
3.90445E-3,36.931170321,0.560151615,0.195,0.290909091,0
3.939E-3,37.325070331,0.563336435,0.1925,0.290909091,0
4.01277E-3,37.726347645,0.570060534,0.19,0.290909091,0
4.03277E-3,38.129624367,0.571865008,0.1875,0.290909091,0
4.03849E-3,38.53347339,0.572380117,0.185,0.290909091,0
4.0605E-3,38.939523425,0.574355403,0.1825,0.290909091,0
4.17306E-3,39.356829105,0.584314986,0.18,0.290909091,0
