Predictor variable,Categorical,Sample average
bus_stop,false,1.1636363636363636
car_out_density,false,0.5636363636363636
cctv_car,false,0.21818181818181817
cctv_child,false,0.2
hospital_log,false,1.0608523693951692
intersection_fourway,false,0.36363636363636365
intersection_single,false,0.6363636363636364
intersection_threeway,false,0.03636363636363636
led_density,false,0.18181818181818182
market_kde_density_log_weighted,false,5.337395105259315E-13
senior_facility,false,0.5636363636363636
silverzone,false,0.10909090909090909
streetlight,false,0.32727272727272727
