X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
202047.99118376637,552972.4976897563,train,0.003137506108192265,44.87830026015371,0.51690091097303
204136.76132910966,553513.3060978388,train,0.027619535626892816,93.77826019442553,0.9983458920564343
202979.19121947154,553171.2293310203,train,0.0029496610180672696,43.965479060411255,0.49539304521976424
205058.15527005715,553108.6208838981,train,0.0015916748701133349,24.009247018785864,0.3086312287373626
203748.13558220217,553296.6444267967,train,0.019666272611352623,88.73353570056827,0.9895407555280075
203708.39043671294,553383.3092451678,train,0.01218672264682318,80.91838465113435,0.940744137645525
205921.16564028463,551459.6349168028,train,0.006684952977710735,64.32336554273648,0.7877785917101435
206045.88850307092,553097.2226714304,train,0.0012742339097749874,15.27079336929842,0.25582037531849355
202171.5220972054,552594.7705580404,train,0.005072281934994479,54.457654489127926,0.6915435463666784
205941.54133492813,555973.5086103553,train,0.0011381222035246835,9.293998793801402,0.2319580214383672
205058.15527005715,553108.6208838981,train,0.0015916748701133349,24.009247018785864,0.3086312287373626
205106.62916228257,554503.2432304216,train,0.0024767913592874296,37.274895053817424,0.4369152622061371
205902.66167191076,551856.2626066944,train,0.006598332401616729,62.994958499269046,0.7834728541900902
205671.15047783093,555029.8268609729,train,0.003372702847029715,47.152000175469205,0.5425426194368361
204136.76132910966,553513.3060978388,train,0.027619535626892816,93.77826019442553,0.9983458920564343
205071.1123906592,552478.0753456885,train,0.00948018868115862,73.38985124993987,0.889007435520646
205506.87912190013,554513.8416741657,train,0.0021033913375917493,32.908093115588024,0.38598758626244256
205126.14841016696,554967.3783631723,train,0.0024138259082716546,35.80280655794831,0.4286335749909881
206388.53094644754,553565.9318355856,train,0.0022110430018530422,34.418370011666234,0.40112518662988417
206201.07980153602,553260.81344538,train,0.0013277104918766828,17.607466726406315,0.2649914434757684
203708.39043671294,553383.3092451678,train,0.01218672264682318,80.91838465113435,0.940744137645525
204136.76132910966,553513.3060978388,train,0.027619535626892816,93.77826019442553,0.9983458920564343
203531.30336319568,553692.2803255578,train,0.022827045599753314,91.01629387347859,0.9949743361989817
205333.41572421076,554448.6678374524,train,0.0023888805567694547,35.56146893955125,0.425318987957211
205478.8353323923,555695.9357668943,train,0.0014873987204284062,21.556622674978037,0.29171029509958224
203895.63211164623,553372.383997459,train,0.03182445283713557,99.9998951277002,0.9993761128901852
204136.76132910966,553513.3060978388,train,0.027619535626892816,93.77826019442553,0.9983458920564343
206201.07980153602,553260.81344538,train,0.0013277104918766828,17.607466726406315,0.2649914434757684
205439.72549430034,555523.8153561172,train,0.0018226170000723804,29.134294561024355,0.3446811791046622
205462.80429262563,555129.1254791149,train,0.005656249541837367,58.73789998678437,0.7306077022437878
205902.66167191076,551856.2626066944,train,0.006598332401616729,62.994958499269046,0.7834728541900902
202171.5220972054,552594.7705580404,train,0.005072281934994479,54.457654489127926,0.6915435463666784
202979.19121947154,553171.2293310203,train,0.0029496610180672696,43.965479060411255,0.49539304521976424
204690.82658383244,554887.4217794951,train,0.002683325610727893,40.861187791253805,0.46324679858541085
202979.19121947154,553171.2293310203,train,0.0029496610180672696,43.965479060411255,0.49539304521976424
204136.76132910966,553513.3060978388,train,0.027619535626892816,93.77826019442553,0.9983458920564343
204428.45822740605,553809.5998487548,train,0.012053918117033054,79.69976509046467,0.9388909608671513
206201.07980153602,553260.81344538,train,0.0013277104918766828,17.607466726406315,0.2649914434757684
203748.13558220217,553296.6444267967,train,0.019666272611352623,88.73353570056827,0.9895407555280075
205921.16564028463,551459.6349168028,train,0.006684952977710735,64.32336554273648,0.7877785917101435
204317.00688524576,554074.1112995486,train,0.004936160779386774,53.9502183872532,0.681652095555853
203408.16348892282,554162.1351746492,train,0.012434715945810804,82.16176451516313,0.9440555433091974
202897.92909919823,552365.5136594516,train,0.0031465384239080427,45.19290788146625,0.5179116732324232
205058.15527005715,553108.6208838981,train,0.0015916748701133349,24.009247018785864,0.3086312287373626
203354.99453539366,552593.4094974482,train,0.007978117401625415,67.29467342993712,0.8427608952862747
204564.34772135835,553968.8441778553,train,0.002523785019903765,38.274382673836634,0.4430178963566903
204445.96498677324,553298.1265277149,train,5.616451096138776E-4,0.9438158492944656,0.12211160250392983
203531.30336319568,553692.2803255578,train,0.022827045599753314,91.01629387347859,0.9949743361989817
202171.5220972054,552594.7705580404,train,0.005072281934994479,54.457654489127926,0.6915435463666784
206066.43023068737,552011.6893984125,train,0.0020791294632595487,32.38042132151713,0.382523472583186
203708.39043671294,553383.3092451678,train,0.01218672264682318,80.91838465113435,0.940744137645525
203408.16348892282,554162.1351746492,train,0.012434715945810804,82.16176451516313,0.9440555433091974
206388.53094644754,553565.9318355856,train,0.0022110430018530422,34.418370011666234,0.40112518662988417
203895.63211164623,553372.383997459,train,0.03182445283713557,99.9998951277002,0.9993761128901852
205071.1123906592,552478.0753456885,train,0.00948018868115862,73.38985124993987,0.889007435520646
