Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.65531E-7,0.000036553,0.000085669,1,0,0
4.08656E-6,0.000445209,0.00095735,0.9975,0,0
7.04314E-6,0.001149523,0.001649411,0.995,0,0
2.18909E-5,0.004147797,0.005117646,0.99,0,0
2.62239E-5,0.006770183,0.006127502,0.9875,0,0
3.05399E-5,0.012655463,0.007132384,0.9825,0,0
7.16202E-5,0.030331138,0.016646255,0.975,0,0
1.07774E-4,0.059554214,0.024943728,0.9675,0,0
1.61078E-4,0.11547346,0.037049728,0.9575,0,0
2.71141E-4,0.216241991,0.061572799,0.9475,0,0
3.02411E-4,0.30545545,0.068425434,0.94,0,0
3.67746E-4,0.407560694,0.082582224,0.9325,0,0
4.67047E-4,0.533700345,0.103687958,0.925,0,0
4.67104E-4,0.62711683,0.103699759,0.92,0,0
4.67243E-4,0.720552566,0.103728954,0.915,0,0
4.67376E-4,0.767290192,0.103757036,0.9125,0,0
4.67637E-4,0.814053848,0.103811711,0.91,0,0
4.68842E-4,0.907702381,0.104064898,0.905,0,0
4.68874E-4,1.001475992,0.104071579,0.9,0,0
4.73167E-4,1.143163477,0.104972605,0.8925,0,0
4.7942E-4,1.238827874,0.106283439,0.8875,0,0
4.86455E-4,1.335538544,0.107755718,0.8825,0,0
4.91735E-4,1.433727959,0.108859313,0.8775,0,0
4.97264E-4,1.533154817,0.110013444,0.8725,0,0
5.46256E-4,1.796695255,0.120174416,0.86,0,0
5.56617E-4,2.017848559,0.122308468,0.85,0,0
6.11808E-4,2.305826626,0.133588866,0.8375,0,0
6.57708E-4,2.557381636,0.142859846,0.8275,0,0
7.24346E-4,2.764926427,0.156143101,0.82,0,0
7.66445E-4,3.061586836,0.164428643,0.81,0,0
8.06389E-4,3.298047533,0.172214763,0.8025,0,0
8.6336E-4,3.549065341,0.18319459,0.795,0,0
1.01162E-3,3.829946177,0.211090845,0.7875,0,0
1.03489E-3,4.036081115,0.215382214,0.7825,0,0
1.10149E-3,4.251333307,0.22753388,0.7775,0,0
1.12256E-3,4.588004175,0.231340132,0.77,0,0
1.12276E-3,4.812548642,0.231375035,0.765,0,0
1.12342E-3,5.037187657,0.231493973,0.76,0,0
1.12409E-3,5.261958661,0.231615415,0.755,0,0
1.12611E-3,5.599730423,0.231979195,0.7475,0,0
1.12646E-3,5.82498814,0.232041349,0.7425,0,0
1.12919E-3,6.05057474,0.232533161,0.7375,0,0
1.1302E-3,6.276602116,0.232714652,0.7325,0,0
1.13092E-3,6.502755869,0.232844648,0.7275,0,0
1.13131E-3,6.842096126,0.232914261,0.72,0,0
1.13474E-3,7.068997802,0.233530508,0.715,0.036363636,0
1.13612E-3,7.296135185,0.233777775,0.71,0.036363636,0
1.13659E-3,7.523440465,0.233863093,0.705,0.036363636,0
1.13859E-3,7.75096543,0.234222175,0.7,0.036363636,0
1.14191E-3,8.09301589,0.234817794,0.6925,0.036363636,0
1.14409E-3,8.321631141,0.235208456,0.6875,0.036363636,0
