Predictor variable,Categorical,Sample average
bus_stop,false,1.3454545454545455
car_out_density,false,0.4
cctv_car,false,0.2545454545454545
cctv_child,false,0.16363636363636364
hospital_log,false,1.2587728326970882
intersection_fourway,false,0.32727272727272727
intersection_single,false,0.7090909090909091
intersection_threeway,false,0.16363636363636364
led_density,false,0.21818181818181817
market_kde_density_log_weighted,false,5.285640132336072E-13
senior_facility,false,0.6727272727272727
silverzone,false,0.09090909090909091
streetlight,false,0.45454545454545453
